,Work,School,University,Leisure,Shopping,Accompany,Other
710.0,0.003106393994304944,0.001422475106685633,0.0,0.0,0.0,0.0,0.0
713.0,0.000776598498576236,0.0,0.0,0.0,0.0,0.0,0.0
714.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
715.0,0.003365260160497023,0.0,0.0,0.0,0.0,0.0,0.0
720.0,0.005177323323841574,0.00047415836889521106,0.0,0.0004113533525298232,0.0,0.0,0.0
725.0,0.0012943308309603936,0.001422475106685633,0.0,0.0,0.0,0.0,0.0
730.0,0.0012943308309603936,0.0018966334755808442,0.0,0.0004113533525298232,0.0003408316291751875,0.0,0.0
735.0,0.002588661661920787,0.0009483167377904221,0.0,0.0,0.0,0.0,0.0
738.0,0.0,0.001422475106685633,0.0,0.0,0.0,0.0,0.0
740.0,0.0010354646647683149,0.0009483167377904221,0.0,0.0004113533525298232,0.0,0.0,0.0
745.0,0.0020709293295366298,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
750.0,0.003106393994304944,0.00047415836889521106,0.0,0.0004113533525298232,0.0,0.0,0.0
755.0,0.0018120631633445508,0.001422475106685633,0.0,0.0004113533525298232,0.0003408316291751875,0.0,0.0
760.0,0.0020709293295366298,0.0009483167377904221,0.0,0.0,0.0,0.0,0.0
765.0,0.000776598498576236,0.0,0.01818181818181818,0.0,0.0003408316291751875,0.0,0.0047619047619047615
767.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
770.0,0.0012943308309603936,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
775.0,0.0005177323323841574,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
777.0,0.0002588661661920787,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
780.0,0.002588661661920787,0.0009483167377904221,0.0,0.0004113533525298232,0.0,0.0,0.0
785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047619047619047615
786.0,0.0,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
795.0,0.0018120631633445508,0.0,0.0,0.0,0.0,0.0,0.0
800.0,0.0005177323323841574,0.0,0.01818181818181818,0.0,0.0,0.0,0.0
805.0,0.0012943308309603936,0.0,0.0,0.0,0.0003408316291751875,0.0,0.0
809.0,0.0,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
810.0,0.0018120631633445508,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
815.0,0.0010354646647683149,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
