,Work,School,University,Leisure,Shopping,Accompany,Other
1.0,0.0,0.0,0.0,0.0006393861892583121,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.00031969309462915604,0.0,0.0,0.0
4.0,0.03233316088980859,0.0004739336492890995,0.0,0.0006393861892583121,0.0,0.0005963029218843173,0.0
5.0,0.05845835488877393,0.0023696682464454982,0.054545454545454536,0.001918158567774936,0.0013445378151260507,0.0023852116875372692,0.015209125475285171
6.0,0.1314019658561821,0.032701421800947865,0.07272727272727272,0.006074168797953964,0.008739495798319327,0.00655933214072749,0.038022813688212934
7.0,0.28323848939472324,0.3687203791469194,0.21818181818181814,0.01278772378516624,0.041008403361344536,0.04412641621943948,0.06844106463878327
8.0,0.161148473874806,0.14170616113744075,0.2,0.03164961636828645,0.0880672268907563,0.07930828861061419,0.060836501901140684
9.0,0.03233316088980859,0.024644549763033177,0.14545454545454545,0.030690537084398974,0.13445378151260504,0.06499701848539058,0.04562737642585552
10.0,0.013191929643041904,0.013270142180094787,0.01818181818181818,0.03580562659846547,0.12,0.06499701848539058,0.04562737642585552
11.0,0.013450594930160372,0.0047393364928909965,0.01818181818181818,0.026214833759590796,0.04974789915966386,0.06797853309481218,0.015209125475285171
12.0,0.04837040869115365,0.03886255924170616,0.054545454545454536,0.028452685421994882,0.016134453781512605,0.014311270125223612,0.04562737642585552
13.0,0.13424728401448527,0.3279620853080569,0.09090909090909093,0.07161125319693094,0.057815126050420176,0.08348240906380441,0.11026615969581748
14.0,0.035437144335230215,0.027014218009478674,0.07272727272727272,0.09942455242966752,0.11831932773109245,0.07215265354800239,0.07224334600760456
15.0,0.014743921365752716,0.008530805687203791,0.0,0.07001278772378516,0.11495798319327732,0.12462731067382232,0.04182509505703422
16.0,0.010605276771857216,0.0033175355450236967,0.01818181818181818,0.08152173913043477,0.09445378151260504,0.1419200954084675,0.10266159695817492
17.0,0.013709260217278842,0.0023696682464454982,0.0,0.11349104859335038,0.07764705882352943,0.1037567084078712,0.08745247148288972
18.0,0.009570615623383344,0.0018957345971563984,0.03636363636363636,0.1278772378516624,0.05848739495798319,0.060226595110316035,0.12927756653992395
19.0,0.0046559751681324365,0.0014218009478672985,0.0,0.13203324808184144,0.011764705882352941,0.03756708407871199,0.06844106463878327
20.0,0.0023279875840662182,0.0,0.0,0.08759590792838874,0.0043697478991596645,0.01848539057841384,0.030418250950570342
21.0,0.0002586652871184687,0.0,0.0,0.02717391304347826,0.0016806722689075633,0.007751937984496123,0.01140684410646388
22.0,0.0005173305742369374,0.0,0.0,0.008312020460358057,0.00033613445378151267,0.004174120453190221,0.01140684410646388
23.0,0.0,0.0,0.0,0.0057544757033248075,0.0006722689075630253,0.0005963029218843173,0.0
