emd_zone;iris_zone;activity_amount
020007;674470202;85
020008;674470201;23
020009;674470202;36
020009;674470203;35
020010;674470301;33
020010;674470302;14
020011;674470201;42
020012;674470301;26
020013;674470301;2
020013;674470302;17
021001;670430102;40
021002;670430103;28
021003;670430103;67
021003;670430104;44
021003;674470201;3
021004;670430102;80
021004;672040104;1
021004;674470101;1
021005;670430104;17
021006;670430104;48
021007;670430201;34
021007;670430204;1
021007;674470302;1
021008;670430201;3
021008;670430203;68
021009;670430204;126
021009;674470401;1
021010;670430202;55
021011;670430201;38
021012;670430202;2
022001;674470102;35
022001;674820603;4
022002;674470101;44
022003;674822002;51
022003;674822103;1
022004;674822001;87
022005;674470102;124
023001;672040101;3
023001;672040102;39
023002;672040101;1
023002;672040102;47
023003;670430104;1
023003;672040102;55
023004;670430101;2
023004;672040104;7
023004;672040105;82
023004;674470101;9
023005;672040103;40
023005;672040104;69
023006;672040103;43
023007;672040101;5
023008;672040101;21
023009;672040101;53
023009;674470101;2
023011;670430101;20
024001;674822102;25
024002;674822102;17
024003;674822103;86
024004;674822103;8
024004;674822106;1
024005;674822103;4
024006;674822103;6
024007;674822106;18
024008;674822104;52
024008;674822105;40
024009;674822102;25
024010;674822101;63
024010;674822102;2
024011;674822101;59
024012;674822105;30
024012;674822106;34
024013;674822105;4
024014;674822106;16
024015;674822104;38
024016;674822102;3
024017;674822104;32
024018;674822106;9
025001;674822202;28
025002;674822203;10
025003;674822203;6
025004;674822202;22
025005;674822206;29
025006;674820803;28
025006;674820804;21
025007;674820602;1
025007;674820804;109
025008;674820804;55
025009;674820901;35
025010;674820802;102
025011;674820801;69
025012;674820803;36
025013;674820701;11
025013;674820901;1
025013;674820902;28
025013;674820903;26
025014;674820701;13
025014;674820902;52
025015;674820902;1
025015;674820903;52
025016;674822202;4
025017;674822205;7
025018;674822206;30
026001;674822201;12
026002;674822201;8
026003;674822201;18
026004;674822201;35
026005;674822204;7
026006;674822301;93
026007;674822301;12
026007;674822302;51
026008;674822303;30
026008;674822305;1
026009;674822303;36
026009;674822304;22
026010;674822304;68
026010;674822404;1
026011;674822302;47
026012;674822305;7
026013;674822305;3
026014;674822303;8
026015;674822204;2
027001;674822201;2
027001;674822801;8
027002;674822804;23
027003;674822801;18
027003;674822802;19
027004;674822804;18
027005;674822801;10
027005;674822802;5
027006;674822901;45
027007;674822901;58
027007;674822902;5
027008;674822901;2
027008;674822902;72
027008;674823003;1
027009;674823003;11
027010;674823003;21
027011;674823002;42
027012;674823001;5
027012;674823002;36
027013;674823002;10
027014;674823001;72
028001;674822502;4
028001;674822503;64
028002;674822501;64
028003;674822502;24
028003;674822503;1
028003;674822804;1
028004;674822601;3
028004;674822602;195
028005;674822501;67
028006;674822601;47
028007;674822501;16
028008;674822501;31
028009;674822501;59
028010;674822601;32
028010;674822602;8
028011;674822703;28
028012;674822702;32
028012;674822703;10
028012;674822804;30
028013;674822501;24
028014;674822502;16
028014;674822804;12
029001;674821301;63
029002;674821301;82
029002;674821302;171
029003;672180202;1
029003;674821301;76
029003;674822501;1
029004;674821301;5
029004;674821302;1
029004;674821303;22
029005;674821302;50
030001;674820305;197
030002;674820303;5
030002;674820304;81
030003;674820303;3
030003;674820305;83
030004;674820303;85
030004;674820304;14
030005;674820302;38
030005;674820303;13
030006;674820301;30
030006;674820302;22
030007;674820301;63
030008;674820303;115
030009;674820303;36
030009;674820304;14
031001;674820601;228
031001;674820602;4
031001;674821104;2
031002;674820601;65
031002;674820602;2
031003;674820601;19
031004;674820601;2
031004;674820602;63
031005;674820602;50
031006;674820602;14
031007;674820501;64
031007;674820502;57
031007;674820602;1
031007;674820603;2
031008;674820502;36
031008;674820503;37
031009;674820503;45
031010;674820501;25
031010;674820502;5
031010;674820503;1
031011;674820401;26
031012;674820402;71
031013;674820402;79
031014;674820305;3
031014;674820401;78
031015;674820303;6
031015;674820401;38
031015;674820501;10
031016;674820303;11
031016;674820501;2
031017;674820501;8
032001;674820602;6
032001;674820701;14
032001;674820702;21
032002;674820701;20
032003;674820701;57
032004;674820602;1
032004;674820702;62
032005;674820602;5
032005;674820701;33
032005;674820702;31
032006;674820603;125
032007;674820603;25
032008;674820603;14
032009;674820701;87
032010;674820701;60
032011;674820702;42
032012;674820603;58
032013;674820603;10
033001;674821005;158
033002;674821001;113
033002;674821005;19
033003;674821001;1
033003;674821005;127
033003;674821104;21
033004;674821001;29
033004;674821002;35
033005;674821001;83
033006;674821005;66
033007;674821004;44
033008;674820902;2
033008;674821001;59
033008;674821004;15
033009;674821001;34
033009;674821002;50
034001;674822404;33
034001;674822405;7
034001;674822406;22
034002;674822403;7
034002;674822404;49
034002;674822405;29
034003;674822403;50
034004;674822402;26
034005;674822402;33
034006;674822401;8
034006;674822402;43
034007;674822401;46
034008;674822401;11
034008;674822403;17
034009;674822405;76
034009;674822406;49
034010;674822407;69
034011;674822201;4
034011;674822402;7
035001;674821205;31
035001;674821206;2
035001;674821207;44
035002;674821207;126
035003;674821201;17
035003;674821203;16
035004;674821201;74
035004;674821202;16
035005;674821203;15
035006;674821206;26
035007;674821204;97
035007;674822501;1
035008;674821203;52
035008;674821206;16
035009;674821201;1
035009;674821206;29
035010;674821202;27
035011;674821202;6
035011;674821205;29
035011;674822501;7
035012;674821207;33
036001;674821103;111
036002;674821104;108
036003;674821101;14
036003;674821103;59
036004;674820204;1
036004;674821101;59
036004;674821205;2
036005;674820204;1
036005;674821101;124
036006;674821102;126
036006;674821103;2
036007;674821102;16
036007;674821103;3
036008;674821104;54
036009;674820204;53
036010;674820202;19
036010;674820203;30
036010;674820204;1
036011;674820204;100
036012;674820204;12
036013;674820204;27
037001;674820101;185
037002;674820201;102
037002;674820202;187
037002;674820305;8
037003;674820202;72
037003;674820304;8
037004;674820201;127
037005;674820203;21
037006;674820203;32
037007;674820203;55
037008;674820201;61
037009;674820101;124
037009;674820102;10
037009;674820601;3
037010;674820101;75
037011;674820102;86
037012;674820102;149
037012;674820601;12
037013;674820101;70
037013;674820102;46
038011;672960000;27
038012;672960000;3
038012;673260000;2
038013;672960000;12
038014;672960000;25
038015;673260000;8
038016;673260000;35
038017;673260000;9
038018;673260000;17
038019;674710101;1
038021;673430000;9
038022;673430000;78
038023;673430000;33
038024;673430000;31
038025;673430000;52
038026;673430000;3
038027;673430000;5
038028;673430000;8
038029;673430000;12
039001;671180101;5
039001;674821603;158
039013;674821603;34
039014;674821601;20
039014;674821603;122
039015;671180101;2
039015;674821603;77
041001;670310000;1
041002;670310000;5
041003;670310000;22
041004;670600000;9
041004;675040000;1
041006;671640000;4
041007;671640000;1
041008;672230000;5
041009;672480000;63
041010;672860000;42
041012;673290000;9
041013;673290000;12
041014;673480101;1
041014;673480102;4
041014;673480105;3
041015;673480101;1
041015;673480103;108
041015;673480105;8
041016;673480101;6
041016;673480102;1
041016;673480103;20
041017;673480102;56
041017;673480103;16
041017;673480105;33
041018;673480101;11
041018;673480105;10
041019;673480101;23
041020;673480102;14
041022;673480105;26
041023;673480104;55
041024;673480102;27
041025;673480105;6
041026;673290000;1
041026;673480105;43
041027;673480102;23
041028;673480102;77
041029;673480105;14
041030;673480102;16
041031;675040000;33
041032;675570000;22
042001;670450000;10
042002;670450000;74
042003;670450000;7
042004;670450000;34
042005;670450000;1
042006;670450000;1
042007;670450000;12
042008;670450000;1
042009;670520000;3
042010;670520000;11
042012;670520000;80
042012;674110000;2
042013;670520000;3
042014;671670000;38
042015;671720000;32
042017;672990000;3
042018;672990000;54
042019;673680000;8
042020;673680000;13
042021;673680000;14
042022;673680000;1
042023;673680000;1
042024;674100000;22
042025;674110000;17
042026;674110000;79
042027;674110000;51
042028;674110000;31
042029;674110000;2
042030;674110000;1
042033;674110000;10
042034;674110000;7
042035;674110000;1
042036;674110000;1
042037;674280000;9
043001;670160000;28
043002;670180000;8
043003;670300000;24
043003;671390000;1
043004;670800000;4
043005;670800000;4
043006;670800000;1
043007;670800000;2
043008;670800000;2
043009;670810000;9
043010;670850000;17
043011;671270000;29
043012;671270000;2
043013;671280000;1
043014;671280000;50
043015;671280000;43
043016;671280000;3
043017;671280000;11
043018;671280000;1
043020;671390000;18
043021;674420000;2
043022;673540000;1
043022;674420000;29
043023;674420000;22
043024;674420000;1
043025;674730000;53
043026;674920000;18
043027;675250000;43
043028;675540000;12
043029;675540000;3
044001;670080000;2
044002;670080000;11
044003;670080000;17
044004;670080000;1
044006;670980000;1
044007;670980000;17
044007;671680000;1
044009;671680000;1
044010;670980000;6
044013;671010000;6
044014;671010000;11
044015;671010000;23
044016;671010000;16
044017;671010000;1
044018;671010000;70
044019;671120000;6
044020;671120000;39
044021;671120000;26
044022;671120000;12
044023;671120000;4
044025;671680000;4
044026;671680000;16
044026;673130102;1
044028;671680000;1
044029;671680000;2
044030;671680000;1
044032;673000101;5
044032;673000103;5
044033;673000103;5
044033;673000104;15
044034;673000103;20
044034;673000104;10
044035;673000103;2
044036;673000101;19
044036;673000102;41
044036;673000103;1
044036;673000104;11
044037;673000101;29
044037;673000102;13
044038;673000101;14
044038;673000102;30
044038;673000104;29
044039;673000104;20
044040;673000101;25
044041;673000103;15
044042;673000103;18
044043;673000104;2
044044;673000103;12
044044;673000104;1
044045;673000103;25
044046;673000103;4
044047;673000103;6
044048;670800000;1
044048;673000103;18
044050;673130101;29
044050;673130102;53
044051;673130102;21
044052;673130101;1
044052;673130102;6
044053;673130101;13
044055;673130101;2
044056;673130101;9
044057;673130101;3
044059;671010000;1
044059;673130101;13
045001;672400000;57
045002;672400000;3
045003;672820000;10
045004;672820000;129
045005;672820000;59
045006;672820000;75
045007;672820000;25
045008;672820000;9
045009;672820000;32
045010;672820000;1
045011;672820000;2
045012;673350000;49
045013;673540000;18
045014;675170000;33
046001;670970000;71
046002;671020000;19
046003;671380000;21
046004;671500000;53
046005;671500000;1
046006;671810000;6
046007;672140000;24
046008;672260000;10
046009;672260000;48
046010;672260000;18
046011;671810000;1
046011;672260000;33
046012;673820000;39
046013;674850000;38
046014;674850000;44
046015;674850000;1
046015;675480000;65
047002;670580000;12
047003;671070000;18
047004;671350000;11
047005;671530000;3
047006;675390000;3
047007;671660000;6
047009;672020000;24
047010;672020000;9
047011;672020000;25
047012;672020000;103
047013;672020000;5
047014;672020000;17
047015;672020000;18
047016;672020000;4
047017;672020000;9
047018;675390000;2
047019;672090000;7
047022;672700000;13
047023;672870000;7
047024;672930000;14
047026;675390000;12
047027;675390000;5
047029;673720000;3
047030;672020000;3
047031;674440000;4
047032;674600000;26
047033;675160000;10
047034;675300000;15
047036;675340000;12
047037;675390000;19
047038;671530000;1
048001;670210102;15
048002;670210101;41
048002;670210102;145
048003;670210101;87
048003;670210102;93
048003;672950000;1
048004;670210101;135
048004;671890000;1
048005;670210101;11
048005;670210102;56
048006;670210102;68
048007;670210102;25
048008;671200000;2
048009;671200000;6
048010;671200000;7
048011;670600000;1
048011;671550000;43
048012;671890000;44
048013;672950000;33
048013;674290000;1
048014;671200000;1
048014;672950000;5
048015;674290000;55
048015;674810000;1
049001;670100000;4
049002;670100000;41
049003;670100000;11
049004;670100000;7
049005;670100000;11
049007;670510000;17
049008;670840000;13
049009;670840000;67
049010;670840000;78
049011;670840000;8
049012;670840000;2
049013;671250000;3
049014;671250000;95
049015;671250000;51
049016;671250000;2
049017;671250000;7
049018;671250000;7
049019;672100000;6
049020;672100000;25
049021;672100000;3
049022;672100000;2
049023;672270000;28
049024;673370000;32
049025;673870000;5
049026;674810000;58
050001;671800205;23
050001;672640000;1
050002;671800101;207
050002;671800102;39
050002;671800302;4
050003;671800101;82
050003;671800301;5
050004;671800101;1
050004;671800102;52
050004;671800301;5
050005;671800102;90
050006;671800102;58
050007;671800102;4
050007;671800201;17
050008;671800201;24
050008;671800202;4
050009;671800202;9
050010;671800201;6
050010;671800202;15
050011;671800301;1
050011;671800302;16
050012;671800101;4
050012;671800402;20
050012;671800403;14
050013;671800201;1
050013;671800501;15
050013;671800502;17
050014;671800501;29
050014;671800502;45
050015;671800301;13
050016;671800301;23
050017;671800301;37
050018;671800302;6
050019;671800302;12
050020;671800302;16
050021;671800205;2
050022;671800205;8
050022;671800402;24
050023;671800205;6
050023;671800401;2
050023;671800402;1
050024;671800402;6
050025;671800402;17
050025;671800403;6
050026;671800403;70
050026;671800404;4
050027;671800404;1
050027;671800501;34
050028;671800501;11
050029;671800404;4
050030;671800404;3
050030;671800502;2
050031;671800404;1
050031;671800503;15
050032;671800202;18
050033;671800203;53
050033;671800205;2
050034;671800203;1
050034;671800205;6
050035;671800205;4
050036;671800205;50
050036;672300000;2
050037;671800205;4
050038;671800205;11
050038;671800401;2
050039;671800205;3
050040;671800401;8
050041;671800402;7
050042;671800402;2
050043;671800301;16
050044;671800301;1
050045;671800202;1
050045;671800203;4
050045;671800204;22
050046;671800203;1
050046;671800204;3
050047;671800204;20
050048;671800204;6
050048;672300000;1
050049;671800204;1
050049;671800205;1
050050;671800205;1
050051;671800205;1
050052;671800203;28
051001;670460101;3
051001;670460102;2
051002;670460101;23
051002;670460102;23
051002;670460103;2
051002;670460104;11
051003;670460103;20
051003;670460104;10
051004;670460104;16
051004;670460105;14
051005;670460104;1
051005;670460105;26
051006;670460105;28
051007;670460105;11
051008;670460102;13
051008;670460104;7
051008;670460105;27
051009;670460102;7
051010;670460101;8
051010;670460102;11
051011;670460101;16
051013;670460103;13
051014;670460103;6
051015;670460103;2
051016;670460102;6
051017;670460102;3
051018;672300000;5
051019;672300000;60
051021;672300000;1
051024;672300000;1
051025;673450000;2
051026;673450000;16
051027;673450000;6
051028;673450000;28
051029;673450000;18
051030;670460102;2
051030;673450000;24
051031;674070000;2
051032;674070000;11
051033;674070000;10
051034;674490000;85
051035;674500000;11
052001;670120000;14
052002;670370000;8
052004;670690000;4
052005;670740000;1
052006;670750000;5
052007;670790000;5
052009;671040000;1
052010;671040000;1
052012;671840000;9
052013;671840000;21
052014;671840000;2
052016;672060000;6
052019;672060000;4
052021;672130000;2
052026;672540000;1
052028;672540000;10
052031;672570000;2
052032;672570000;2
052034;672630000;21
052036;672630000;1
052038;672630000;1
052039;672630000;2
052043;672900000;5
052044;672900000;2
052049;673270000;2
052052;673390000;8
052053;673390000;9
052054;673390000;38
052055;673390000;4
052056;673390000;1
052057;673390000;5
052058;673390000;1
052062;673390000;4
052063;673440000;6
052065;673490000;24
052068;673510000;2
052070;673510000;8
052071;673530000;5
052076;673790000;1
052080;674000000;2
052082;674000000;2
052083;674040000;6
052087;674320000;3
052089;674510000;11
052091;674510000;14
052092;674550000;14
052093;674660000;4
052094;674660000;2
052097;674740000;30
052098;674740000;7
052099;674740000;21
052100;674740000;1
052101;674740000;2
052102;674740000;7
052104;674790000;23
052105;673490000;1
052105;674840000;2
052108;674870000;4
052110;674870000;1
052112;674940000;2
052115;675370000;1
052116;675440102;1
052117;675440201;12
052118;675440102;3
052119;675440102;1
052120;675440101;3
052120;675440102;10
052121;675440102;56
052121;675440103;30
052122;675440101;92
052122;675440102;5
052122;675440103;1
052123;675440101;1
052123;675440102;34
052123;675440103;14
052124;675440103;2
052124;675440202;17
052125;675440103;1
052125;675440202;4
052126;675440202;17
052128;675440103;28
052130;675440102;5
052130;675440103;1
052131;675440202;7
052132;675440202;5
052133;675440202;2
052135;675440202;5
053002;670830000;2
053003;670830000;1
053006;670830000;1
053008;670930000;13
053009;671100000;1
053011;671100000;3
053012;671100000;2
053014;671100000;1
053015;671100000;1
053018;671320000;10
053019;671320000;1
053020;671410000;9
053021;671470000;12
053022;671600000;14
053023;671600000;9
053026;671740000;5
053027;671760000;1
053028;671760000;30
053030;671760000;5
053031;671760000;5
053032;671760000;21
053037;671760000;1
053038;671760000;6
053039;671760000;2
053041;671770000;1
053044;671860000;4
053045;672590000;5
053046;672600000;2
053048;672910000;4
053049;672910000;7
053050;672910000;6
053051;672910000;41
053052;672910000;28
053053;672910000;3
053056;672920000;8
053057;673030000;15
053058;673030000;1
053059;673240000;16
053060;673240000;11
053061;673240000;14
053062;673240000;18
053063;673240000;19
053064;673240000;19
053065;673240000;1
053066;673240000;7
053068;673240000;10
053069;673240000;9
053070;673240000;3
053072;673240000;3
053073;673240000;2
053074;673240000;4
053075;673400000;11
053076;673400000;18
053077;673400000;8
053078;673400000;3
053079;673400000;3
053081;673400000;2
053083;670930000;1
053083;673410000;3
053084;673580000;3
053086;673880101;3
053086;673880102;14
053087;673880101;44
053088;673880101;7
053088;673880102;1
053089;673880101;4
053090;673880101;1
053091;673880101;5
053092;673880102;11
053094;673880102;12
053095;673880102;19
053099;673880102;4
053100;673880102;12
053101;673880102;3
053102;674150000;3
053103;674150000;7
053106;675020000;4
053108;675110000;13
053109;675110000;1
053110;675110000;2
053112;675360000;3
053114;675500000;11
053115;675500000;9
053116;675500000;1
053117;675500000;1
053118;675500000;3
053120;675500000;9
053121;675500000;1
053123;675580000;5
053124;675580000;3
053125;675580000;2
054001;670230000;43
054002;670350000;4
054003;670480000;21
054005;670870000;2
054006;670870000;35
054007;670870000;4
054008;672030000;2
054009;672150000;8
054010;672380000;6
054011;673040000;1
054012;673280000;3
054013;673280000;3
054014;673280000;6
054017;673590000;1
054018;673590000;15
054019;673590000;16
054022;673280000;1
054022;673720000;57
054023;673720000;46
054024;673720000;24
054025;673720000;13
054026;673720000;2
054027;674580000;3
054028;674580000;51
054029;674580000;17
054030;674580000;16
054031;674580000;11
054032;674580000;23
054033;674580000;36
054034;674580000;1
054035;674580000;3
054036;671800205;10
054036;674580000;59
054037;674580000;4
054038;674580000;7
054039;674580000;3
054040;674580000;3
054041;674580000;3
054042;673720000;1
054043;673720000;3
054044;673720000;1
054045;673720000;2
054046;673720000;3
054047;673720000;1
054049;674970000;14
054051;674980000;4
054052;675100000;6
054053;673720000;24
054054;673720000;20
054056;675400000;21
054057;675460000;6
055001;670020000;10
055006;670290000;4
055010;670360000;10
055012;670470000;4
055013;670700000;5
055015;670720000;12
055016;670880000;5
055018;670950000;1
055019;670950000;14
055021;670950000;12
055022;670950000;2
055027;671050000;3
055028;671050000;11
055029;671050000;7
055031;671050000;5
055032;671110000;3
055034;671330000;3
055035;671330000;10
055036;671330000;2
055037;671340000;2
055038;671360000;5
055039;671480000;9
055039;674910000;1
055041;671780000;4
055042;671830000;30
055043;671910000;2
055044;671910000;31
055045;671910000;2
055046;671910000;6
