chain_iris_n;index;index;index;index;index;index;index;index;index
;Accompany;Home;Home_getaway;Leisure;Other;School;Shopping;University;Work
671800401;2;0;0;1;0;0;1;0;8
671800402;7;37;0;7;4;2;8;0;12
671800403;10;40;0;19;4;4;6;0;7
671800404;3;2;0;5;0;1;1;0;1
671800501;20;29;1;5;1;13;8;0;12
671800502;8;29;1;7;0;11;7;0;1
671800503;4;6;0;4;0;0;1;0;0
671810000;1;2;0;3;0;0;0;0;1
671820000;26;68;0;10;1;14;9;0;16
671830000;0;28;0;1;0;0;0;0;1
671840000;13;7;0;2;1;2;3;0;4
671850000;6;0;0;8;0;4;0;0;0
671860000;0;4;0;0;0;0;0;0;0
671870000;4;5;0;0;0;2;0;0;1
671880000;0;6;0;3;1;0;0;0;0
671890000;4;14;0;8;0;12;0;0;7
671910000;9;32;0;9;0;1;1;0;6
671920000;0;20;0;1;0;4;2;0;1
671940000;41;105;0;35;1;18;17;0;13
671950000;9;31;0;2;0;4;2;0;2
671960000;12;26;0;11;1;1;5;0;8
671970000;1;5;0;3;0;0;2;0;1
671980000;0;12;0;0;0;0;0;0;0
672000000;2;10;0;1;0;0;0;0;0
672010000;0;6;0;0;0;0;0;0;2
672020000;31;87;0;23;1;19;36;0;20
672030000;1;0;0;0;0;0;0;0;1
672040101;7;44;0;6;0;10;11;0;5
672040102;11;83;0;21;1;6;9;0;10
672040103;6;52;0;10;1;6;5;0;3
672040104;4;38;0;9;1;10;10;0;5
672040105;10;26;0;7;1;0;21;0;17
672050000;25;39;0;22;3;6;10;0;31
672060000;0;8;0;2;0;0;0;0;0
672080000;3;15;0;2;0;5;0;0;0
672090000;3;3;0;1;0;0;0;0;0
672100000;2;20;0;4;1;8;1;0;0
672120000;11;47;0;23;0;2;10;2;23
672130000;0;0;0;0;0;0;0;0;2
672140000;5;11;0;0;0;4;4;0;0
672150000;0;5;0;3;0;0;0;0;0
672160000;4;32;0;10;1;3;2;0;9
672170000;4;5;0;0;0;0;2;0;1
672180101;6;12;0;11;2;0;7;0;17
672180102;17;74;1;16;1;5;9;0;10
672180103;24;63;0;32;4;4;35;0;21
672180104;48;82;0;34;1;16;16;0;16
672180201;36;63;1;73;7;51;121;3;120
672180202;12;42;0;17;0;2;5;0;7
672180203;2;10;2;4;0;2;0;0;6
672180301;11;55;0;15;0;13;2;0;4
672180302;3;15;0;1;0;6;2;0;2
672180303;19;83;0;15;2;15;10;0;16
672220000;29;79;0;29;0;19;35;0;26
672230000;0;3;0;0;0;0;1;0;1
672260000;7;55;0;18;2;5;11;0;12
672270000;0;14;0;4;0;0;4;0;6
672280000;1;11;0;1;0;2;0;0;1
672290000;1;12;0;1;0;0;0;0;16
672300000;3;43;0;9;0;6;2;0;7
672310000;0;0;0;3;0;0;0;0;0
672330000;0;20;0;11;0;0;1;0;2
672340000;9;12;0;1;0;3;1;0;0
672350000;0;1;0;1;0;0;0;0;0
672360000;4;4;0;2;0;2;0;0;0
672370000;8;24;1;12;0;7;3;0;8
672380000;0;5;0;1;0;0;0;0;0
672390000;15;51;0;12;0;6;4;0;10
672400000;5;37;0;5;2;2;3;0;6
672420000;3;5;0;4;0;6;0;0;2
672460000;7;22;0;4;1;3;3;0;3
672470000;4;38;0;4;0;2;1;0;0
672480000;13;34;0;5;1;4;1;0;5
672490000;0;11;0;1;0;0;0;0;0
672500000;0;7;0;0;0;0;0;0;1
672520000;0;7;0;4;0;0;0;0;2
672530000;0;9;0;2;0;0;1;0;0
672540000;0;11;0;0;0;0;0;0;0
672550000;1;21;2;14;0;0;0;0;2
672560000;17;51;0;10;1;6;23;0;6
672570000;2;0;0;2;0;0;0;0;0
672580000;0;0;0;2;0;0;7;0;6
672590000;0;4;0;1;0;0;0;0;0
672600000;0;1;0;0;0;0;0;0;1
672610000;7;22;1;12;0;4;6;0;12
672630000;4;10;0;3;0;2;3;0;3
672640000;0;6;0;4;0;0;0;0;1
672650000;0;0;0;3;0;2;0;0;0
672660000;2;16;0;3;0;0;0;0;1
672670101;12;67;0;9;0;4;34;0;13
672670102;7;22;0;12;0;8;3;0;2
672670201;6;17;1;4;0;5;3;0;13
672670202;5;24;0;8;1;6;4;0;6
672670203;15;60;5;17;0;20;3;0;7
672670301;23;29;0;6;0;0;11;0;10
672670302;16;31;0;13;2;7;5;0;14
672680000;2;14;0;4;4;2;2;0;4
672690000;0;3;0;0;0;0;0;0;0
672700000;2;7;0;0;0;4;0;0;0
672720000;0;0;1;3;0;2;0;0;1
672730000;0;1;0;1;0;0;0;0;1
672750000;5;6;0;3;0;2;1;0;2
672760000;1;4;0;3;0;0;1;0;0
672770000;4;15;0;3;4;2;0;0;2
672780000;0;4;0;2;0;0;1;0;0
672800000;1;18;2;5;0;4;0;0;0
672810000;61;160;1;30;4;31;43;0;20
672820000;45;145;0;46;14;21;39;0;32
672830000;22;75;1;32;0;15;56;0;24
672850000;16;20;1;0;0;13;2;0;6
672860000;5;19;1;13;1;1;2;0;0
672870000;1;4;0;1;0;0;1;0;0
672900000;1;2;0;2;0;0;1;0;1
672910000;17;41;0;11;1;6;3;0;10
672920000;0;7;0;0;0;0;1;0;0
672930000;2;10;0;2;0;0;0;0;0
672950000;6;15;0;8;0;3;0;0;7
672960000;1;43;0;11;1;0;4;0;8
672980000;3;10;0;4;3;1;0;0;3
672990000;2;38;0;11;2;4;0;0;0
673000101;14;37;0;9;1;8;3;0;20
673000102;22;20;0;8;1;17;6;0;10
673000103;16;22;0;9;2;5;16;0;61
673000104;15;22;0;13;1;16;8;0;13
673010000;4;17;0;7;1;0;4;0;7
673020000;22;56;0;21;0;19;9;0;16
673030000;2;4;0;5;0;0;3;0;2
673040000;0;0;0;1;0;0;0;0;0
673050000;5;31;0;8;0;8;3;0;0
673060000;0;3;0;5;0;0;0;0;0
673070000;0;1;0;0;0;0;0;0;0
673080000;1;2;0;4;0;0;0;0;0
673090101;21;59;5;21;0;12;78;1;23
673090102;31;61;0;25;3;6;16;0;31
673100000;0;12;0;0;0;0;2;0;2
673110000;18;37;0;13;4;0;7;0;17
673130101;8;17;0;9;1;0;14;0;21
673130102;12;32;0;11;2;6;7;0;11
673140000;4;14;0;5;1;2;1;0;2
673150000;2;2;0;0;0;0;0;0;0
673170000;0;7;0;1;0;0;1;0;0
673190000;1;4;0;3;0;0;0;0;0
673200000;6;19;0;4;0;0;1;0;0
673210000;0;0;0;1;0;0;0;0;0
673220000;1;3;0;2;0;0;0;0;2
673240000;31;56;0;21;3;2;11;0;12
673250000;2;26;0;5;0;0;1;0;4
673260000;6;45;0;6;2;4;4;0;6
673270000;0;0;0;0;0;0;0;0;2
673280000;1;3;0;5;0;0;3;0;1
673290000;1;16;0;1;0;0;1;0;3
673300000;0;0;0;0;0;0;1;0;0
673330000;0;9;0;2;0;0;0;0;9
673350000;0;30;0;11;5;0;1;0;2
673360000;13;39;0;11;0;7;0;0;4
673370000;4;13;0;6;0;4;1;0;4
673380000;2;8;0;8;0;2;1;0;0
673390000;8;35;0;16;0;3;2;0;6
673400000;5;22;0;5;0;2;4;0;7
673410000;0;0;0;0;0;3;0;0;0
673420000;4;6;0;5;2;2;1;0;2
673430000;30;126;0;22;1;7;25;0;25
673440000;4;0;0;1;0;0;0;0;1
673450000;8;30;0;11;2;4;23;0;16
673460000;4;18;0;6;1;2;0;0;3
673470000;4;7;0;2;1;0;0;0;0
673480101;5;17;0;11;0;4;2;0;3
673480102;41;45;0;9;3;30;37;0;53
673480103;32;31;0;24;3;6;24;0;24
673480104;11;26;0;7;0;2;1;0;8
673480105;33;32;0;35;0;8;11;0;24
673490000;1;15;0;6;0;0;1;0;2
673500000;8;50;1;11;0;2;8;0;10
673510000;2;4;0;1;0;0;3;0;0
673520000;0;19;0;2;0;2;2;0;1
673530000;0;4;0;0;0;0;0;0;1
673540000;1;14;0;2;0;0;1;0;1
673550000;5;21;0;7;0;3;1;0;3
673560000;4;31;0;11;0;4;0;0;3
673580000;0;0;0;2;0;0;0;0;1
673590000;3;19;0;7;0;0;3;0;0
673600000;1;20;0;10;0;0;0;0;1
673610000;4;11;0;2;0;0;0;0;0
673620000;11;29;0;3;0;5;0;0;0
673630000;0;9;0;2;0;0;0;0;2
673640000;2;2;0;1;0;0;0;0;6
673650101;4;19;1;9;0;2;8;0;18
673650102;16;38;0;16;0;22;6;0;18
673650103;1;19;1;4;0;0;5;0;2
673650104;7;70;3;9;1;1;5;0;6
673650105;20;87;0;32;3;12;11;0;22
673660000;1;16;0;0;0;2;0;0;0
673670000;2;22;0;6;1;0;3;0;2
673680000;6;10;0;9;1;4;1;0;6
673700000;1;10;0;0;5;0;0;0;3
673710000;0;0;0;2;2;2;0;0;8
673720000;48;78;0;21;2;14;21;0;16
673750000;6;30;3;9;0;11;1;0;4
673770000;0;2;0;0;0;0;0;0;0
673780000;13;61;0;18;1;4;8;0;8
673790000;0;0;0;0;0;0;0;0;1
673800000;0;9;0;1;0;2;0;0;0
673820000;6;23;0;5;0;3;0;0;2
673830000;1;1;0;1;0;4;0;0;0
673840000;0;0;0;0;0;0;0;0;1
673850000;0;8;0;0;1;2;0;0;0
673870000;0;0;0;2;0;2;0;0;1
673880101;10;35;0;5;2;6;4;0;2
673880102;21;10;0;10;1;6;18;0;10
673890000;29;65;2;31;5;6;19;2;41
673910000;0;8;0;3;1;0;0;0;3
673920000;3;4;0;2;0;3;0;0;2
673950000;2;7;0;6;0;2;0;0;0
673970000;12;41;2;9;1;8;8;0;16
673980000;0;4;0;0;0;0;0;0;0
674000000;1;0;0;2;0;0;0;0;1
674010000;1;3;0;3;0;0;0;0;0
674030000;1;8;0;2;1;2;2;0;1
674040000;0;1;0;2;0;0;2;0;1
674050000;14;34;0;11;1;4;5;0;3
674060000;0;8;0;0;0;2;0;0;0
674070000;2;14;0;3;0;0;0;0;4
674080000;3;23;0;12;1;0;2;0;2
674090000;0;9;0;1;0;0;1;0;2
674100000;2;13;0;0;1;5;0;0;1
674110000;35;67;1;36;6;11;29;0;17
674120000;4;15;0;4;0;4;0;0;2
674140000;1;12;0;4;0;0;1;0;1
674150000;0;6;0;4;0;0;0;0;0
674170000;0;0;0;0;0;0;0;0;2
674180000;14;43;0;9;1;4;0;0;1
674200000;7;5;0;3;3;5;9;0;3
674210000;5;11;0;3;1;15;1;0;3
674220000;0;2;0;0;0;0;0;0;1
674230000;2;4;0;1;0;2;0;0;0
674250000;1;16;0;5;0;0;0;0;1
674260000;2;8;0;1;0;2;1;0;0
674270000;9;6;0;5;0;0;0;0;3
674280000;0;7;0;0;0;0;0;0;2
674290000;5;30;0;3;1;2;2;0;13
674300000;0;14;0;5;0;4;4;0;2
674320000;2;0;0;0;0;0;1;0;0
674330000;0;1;0;0;0;0;1;0;3
674340000;23;18;1;8;1;10;13;1;19
674370101;28;52;0;11;1;5;11;1;22
674370102;12;1;0;1;0;0;0;0;12
674370103;28;75;0;30;3;30;19;0;15
674370104;37;31;0;26;5;23;28;0;25
674370105;22;61;1;19;0;23;24;0;13
674370109;13;67;0;16;2;9;11;0;16
674380000;7;10;0;1;0;4;1;0;3
674400000;0;0;0;0;0;1;0;0;0
674410000;0;9;0;0;2;0;0;0;2
674420000;6;19;0;9;0;6;1;0;13
674430000;0;0;0;1;2;0;0;0;1
674440000;1;0;0;0;0;3;0;0;0
674450000;22;88;1;25;2;14;12;0;17
674460000;0;4;0;3;0;0;0;0;0
674470101;10;13;0;14;0;1;4;0;14
674470102;12;80;0;23;0;19;10;0;15
674470103;18;42;0;14;3;7;10;1;24
674470201;6;49;0;4;0;0;4;0;5
674470202;14;44;0;17;1;9;13;0;23
674470203;12;22;0;14;1;0;10;0;9
674470301;34;48;1;7;4;1;20;0;22
674470302;5;42;0;5;1;4;1;0;1
674470401;12;50;0;16;1;4;52;0;8
674470402;48;51;1;38;1;37;21;0;7
674470501;23;36;0;11;0;8;18;0;15
674470502;31;80;0;30;2;21;18;1;144
674480000;19;16;0;8;1;3;12;0;6
674490000;4;63;1;7;0;0;8;0;2
674500000;2;0;0;9;0;0;0;0;0
674510000;2;14;0;6;0;2;1;0;0
674520000;1;25;0;7;1;2;0;0;3
674530000;0;12;0;2;0;3;1;0;2
674540000;2;21;0;10;0;0;0;0;0
674550000;0;9;0;4;1;0;0;0;0
674580000;32;67;0;27;1;21;69;0;23
674590000;6;15;0;0;0;0;1;0;1
674600000;9;10;0;3;0;4;0;0;0
674610000;0;2;0;3;0;0;0;0;0
674620101;58;68;1;79;10;21;80;0;34
674620102;16;61;0;13;2;36;7;0;12
674620103;44;23;0;8;5;13;5;0;20
674620104;21;77;0;4;0;9;2;0;9
674620105;21;41;1;23;6;20;28;0;25
674620106;36;81;0;29;1;16;17;0;22
674620107;8;37;0;21;2;3;8;0;5
674620108;26;9;0;14;1;0;61;0;37
674620109;13;48;2;32;2;8;49;0;13
674630000;33;38;0;7;2;10;23;0;7
674640000;0;1;0;1;0;0;0;0;1
674650000;10;22;0;10;2;8;2;0;6
674660000;0;4;0;2;0;0;0;0;0
674700000;0;0;0;2;0;0;0;0;0
674710101;14;34;0;24;2;3;24;0;36
674710102;10;39;0;16;1;2;10;0;11
674720000;34;63;0;17;0;20;13;0;22
674730000;10;25;0;5;0;8;2;0;3
674740000;9;25;0;7;0;6;12;0;9
674750000;0;3;0;0;3;0;0;0;0
674760000;2;3;0;0;0;0;0;0;0
674770000;5;15;0;2;0;0;0;0;0
674780000;4;19;0;10;1;0;6;0;9
674790000;0;20;0;0;1;0;0;0;2
674800000;0;2;0;2;0;0;1;0;3
674810000;5;23;0;10;3;10;3;0;5
674820101;78;26;5;118;5;36;104;3;79
674820102;32;72;0;65;2;40;41;0;39
674820201;23;70;0;82;3;3;74;0;35
674820202;31;67;0;56;4;1;76;0;43
674820203;13;39;0;42;0;11;10;0;23
674820204;38;22;0;30;4;36;1;6;58
674820301;9;59;0;11;1;1;2;0;11
674820302;10;32;0;1;1;4;12;0;0
674820303;35;70;0;41;15;10;21;1;82
674820304;24;31;1;18;2;1;21;1;18
674820305;35;40;1;61;2;16;72;0;64
674820401;23;41;0;23;0;13;8;0;34
674820402;29;40;0;20;0;11;10;0;40
674820501;17;25;1;13;0;24;6;0;23
674820502;9;28;0;12;0;28;5;0;16
674820503;13;32;0;10;0;11;8;0;9
674820601;49;54;0;66;3;35;19;9;94
674820602;22;46;0;22;4;13;3;1;36
674820603;26;32;0;51;4;15;10;0;100
674820701;26;161;0;44;1;12;13;0;38
674820702;26;73;0;10;1;9;6;0;31
674820801;19;20;0;5;0;11;6;1;7
674820802;9;41;0;8;0;20;9;0;15
674820803;5;20;0;9;0;5;4;1;20
674820804;12;31;0;42;0;52;10;3;35
674820901;7;8;0;4;0;6;5;0;6
674820902;17;34;0;8;0;11;6;1;6
674820903;5;42;0;5;0;7;13;1;5
674821001;58;107;2;47;4;42;42;0;17
674821002;15;32;0;18;0;4;10;0;6
674821004;5;33;2;6;0;9;2;0;2
674821005;23;72;0;62;1;100;26;9;77
674821101;31;40;1;41;1;6;25;3;49
674821102;36;50;0;11;1;7;8;0;29
674821103;27;59;0;36;0;19;16;0;18
674821104;13;61;0;41;0;29;9;4;28
674821201;12;39;0;8;1;3;20;0;9
674821202;6;26;0;7;0;2;6;0;2
674821203;19;43;0;7;0;2;5;0;7
674821204;9;58;0;8;0;7;4;0;11
674821205;8;18;0;9;0;4;8;1;14
674821206;10;43;0;8;0;2;5;0;5
674821207;22;24;0;78;1;5;39;2;32
674821301;36;108;0;19;1;32;18;0;12
674821302;13;152;0;20;1;24;2;0;12
674821303;1;4;0;5;0;0;2;0;10
674821401;7;63;0;10;0;2;4;0;1
674821402;4;22;0;5;0;4;3;0;4
674821403;14;48;0;15;1;8;19;0;6
674821404;3;19;0;3;0;0;1;0;0
674821405;5;51;0;14;5;0;2;2;8
674821501;3;38;0;4;0;0;8;0;3
674821502;5;29;0;13;1;0;5;0;6
674821503;10;13;0;16;1;4;8;0;8
674821601;5;33;0;7;0;6;4;0;2
674821603;40;220;0;24;3;42;41;0;28
674821604;2;1;0;2;0;1;2;0;14
674821605;8;6;1;8;0;3;8;0;3
674821606;19;103;0;24;0;14;8;0;9
674821701;17;64;0;35;0;13;75;0;18
674821702;6;33;0;6;0;12;2;0;8
674821703;9;68;0;5;0;29;2;0;3
674821704;18;51;0;20;0;2;6;0;28
674821705;25;46;0;16;1;13;42;0;33
674821706;5;0;0;10;0;0;25;0;0
674821801;15;46;3;9;1;8;12;0;5
674821802;1;33;4;6;0;3;0;0;2
674821803;1;7;0;3;1;4;0;0;6
674821804;20;27;2;15;0;15;3;0;10
674821805;11;13;0;9;0;10;8;3;14
674821901;5;0;0;10;1;0;29;0;19
674821902;4;24;2;3;3;1;3;0;3
674821903;7;28;1;7;0;1;3;0;8
674821904;13;17;0;9;3;6;7;0;12
674821905;6;22;0;10;1;0;3;0;12
674822001;12;54;0;7;5;5;0;0;4
674822002;5;35;0;5;0;0;2;0;4
674822101;27;54;0;11;0;1;11;0;18
674822102;10;26;0;8;2;12;8;0;6
674822103;14;39;1;14;0;1;19;0;17
674822104;25;50;0;10;0;16;9;0;12
674822105;10;28;1;7;1;4;11;0;12
674822106;4;40;1;16;0;2;4;0;11
674822201;6;37;0;15;0;5;2;3;11
674822202;4;11;0;12;1;3;1;0;22
674822203;0;0;0;1;0;0;0;0;15
674822204;0;0;0;0;0;1;0;0;8
674822205;0;0;0;1;0;0;1;0;5
674822206;0;0;0;6;0;1;1;0;51
674822301;28;42;1;8;1;16;6;0;3
674822302;3;74;0;5;0;1;8;0;7
674822303;6;50;0;10;0;3;0;0;5
674822304;7;52;0;19;1;3;3;0;5
674822305;1;1;0;4;0;0;0;0;5
674822401;14;24;0;8;0;3;4;0;12
674822402;9;30;0;18;0;22;25;0;5
674822403;15;38;0;7;0;2;11;0;1
674822404;7;42;0;10;0;15;7;0;2
674822405;15;57;0;13;1;6;9;0;11
674822406;13;21;0;12;2;1;12;1;9
674822407;14;18;0;7;3;17;4;0;6
674822501;25;16;0;24;8;26;19;2;155
674822502;3;18;1;12;0;2;1;0;7
674822503;7;23;5;4;0;1;3;0;22
674822601;8;42;0;7;0;5;9;0;11
674822602;27;94;0;25;2;12;33;0;10
674822702;2;22;0;5;0;1;0;0;2
674822703;4;12;0;10;10;1;0;0;2
674822801;2;14;0;6;1;0;1;0;12
674822802;2;10;0;4;1;0;1;0;6
674822804;6;33;3;18;2;4;2;0;16
674822901;4;59;0;22;0;6;5;0;9
674822902;7;20;0;7;2;9;14;0;18
674823001;9;36;0;15;2;8;1;0;6
674823002;4;45;3;10;0;7;4;0;15
674823003;3;12;1;4;3;3;3;0;4
674840000;1;0;0;1;0;0;0;0;0
674850000;15;46;1;11;0;6;0;0;4
674860000;9;18;0;3;2;12;5;0;7
674870000;0;3;0;1;0;0;0;0;1
674880000;0;1;0;0;0;0;0;0;0
674890000;0;3;0;1;0;0;0;0;2
674900000;4;15;0;2;1;2;1;0;1
674910000;0;0;0;1;0;1;0;0;1
674920000;0;11;0;4;0;0;0;0;3
674930000;4;11;0;4;0;6;11;0;6
674940000;0;0;0;2;0;0;0;0;0
674950000;39;95;0;27;2;24;34;1;18
674970000;0;10;0;1;0;2;0;0;1
674980000;0;0;0;0;0;2;0;0;2
674990000;0;2;0;0;0;0;0;0;1
675000000;6;20;0;6;3;2;0;0;1
675010000;2;6;0;2;0;0;0;0;0
675020000;0;3;0;0;0;0;0;0;1
675030000;0;5;0;3;0;0;0;0;0
675040000;2;17;0;7;0;0;3;0;5
675050000;0;7;0;2;1;0;0;0;0
675060101;12;43;1;9;2;2;8;0;8
675060102;26;31;1;31;4;4;78;0;40
