FICHE;SECT1;SECT2;ECH;NUMPERS;O1A1;O1A2;O1A3;O1A4;O1A5;O1A6;O1A7;O2 ;O3A1;O3A2;O3A3;O3A4;O3A5;O3A6;O3A7;O3A8;O3A9;O4 ;O5A1;O5A2;O5A3;O5A4;O5A5;O5A6;O5A7;O6A1;O6A2;O6A3;O7A1;O7A2;O7A3;O8A1;O8A2;O8A3;L20 ;L21;L22;L23;L24 ;L25 ;L26 ;L27 ;L28;L29;L17A1 ;L18A1 ;L18B1 ;L19A1 ;L19B1 ;L17A2 ;L18A2 ;L18B2 ;L19A2 ;L19B2 ;L17A3 ;L18A3 ;L18B3 ;L19A3 ;L19B3 ;L17A4 ;L18A4 ;L18B4 ;L19A4 ;L19B4 ;L17A5 ;L18A5 ;L18B5 ;L19A5 ;L19B5 ;L17A6 ;L18A6 ;L18B6 ;L19A6 ;L19B6 ;L17A7 ;L18A7 ;L18B7 ;L19A7 ;L19B7 ;L17A8 ;L18A8 ;L18B8 ;L19A8 ;L19B8 ;L17A9 ;L18A9 ;L18B9 ;L19A9 ;L19B9 ;L30A1 ;L30A2 ;Coef
5;1;34;36;1;2;2;2;1;2;2;2;4;2;2;1;1;2;1;1;2;1;3;2;1;2;2;1;1;1;3;24;50;4;38;34;60;4;17;2;;999;1530;2;1;5;3;700109;2;1;1;34;;;2;;;;;1;1;6;4;;2;;;;;2;;;;;1;52;91;1;;2;;;;;2;;;;;1;52;90;4;5;1;7;115.982
5;1;19;37;1;1;1;1;1;1;1;1;3;1;1;1;1;2;1;2;1;1;1;1;2;2;1;1;1;1;13;;;10;34;;38;;;2;;999;1483;1;2;;;;;2;;;;;2;;;;;1;1;6;2;;2;;;;;2;;;;;2;;;;;1;1;6;2;;1;1;6;2;;1;1;16;2;;8;2;111.7186
5;1;12;38;2;2;1;2;1;2;2;1;4;1;2;2;1;3;1;1;1;2;4;2;2;2;2;1;1;2;3;1;22;3;28;38;92;17;15;1;346;;1483;2;1;6;4;700153;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;957;463;4;;1;957;463;4;;1;957;463;4;1;1;957;463;4;;9;6;111.7186
5;1;30;40;2;1;1;1;1;1;1;1;6;1;1;1;2;2;1;1;1;1;2;3;3;1;2;2;1;1;18;13;7;10;6;38;15;12;21;2;;999;1530;2;1;5;3;800999;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;9;;111.7186
5;1;37;42;1;2;1;1;1;1;1;1;4;1;2;2;1;2;1;2;2;2;4;1;1;2;2;1;1;2;25;22;3;31;3;45;17;13;60;1;112;;1483;3;1;5;2;700099;2;2;;;;;2;;;;;2;;;;;1;700;99;4;;2;;;;;2;;;;;1;700;99;1;;1;700;99;4;;2;;;;;;;115.7969
5;1;40;43;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;3;10;;2;6;3;4;3;17;1;171;;1483;1;1;5;2;700099;2;2;;;;;2;;;;;2;;;;;1;1;40;1;;2;;;;;2;;;;;1;1;40;1;;2;;;;;2;;;;;2;3;111.7186
5;1;22;44;1;1;2;1;1;2;1;2;1;1;1;2;2;2;2;1;1;1;8;1;1;2;1;1;1;2;3;22;32;3;4;10;4;17;2;1;212;;1483;2;1;5;3;800999;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;111.7186
5;1;37;46;1;1;1;1;1;1;2;1;7;1;1;1;1;1;1;1;1;1;8;1;1;1;2;2;1;1;3;6;1;3;4;1;2;17;4;2;;999;1483;2;2;;;;;2;;;;;2;;;;;1;60;6;4;;2;;;;;2;;;;;1;1;38;4;;2;;;;;2;;;;;2;;;;;1;;115.7969
5;1;34;47;1;3;3;1;3;3;3;3;3;3;3;1;3;3;3;3;3;3;3;2;3;2;2;3;3;2;13;22;16;32;34;29;15;16;17;1;523;;1530;1;1;5;4;800999;2;2;;;;;2;;;;;2;;;;;1;1;32;4;;2;;;;;1;24;2;5;;2;;;;;1;24;2;4;;2;;;;;9;3;111.7186
5;1;5;48;2;1;2;1;1;1;1;1;3;3;1;1;1;1;1;1;1;1;4;2;1;2;1;1;1;1;10;11;13;10;3;14;3;8;4;1;174;;1483;3;1;5;4;700099;2;2;;;;;2;;;;;1;1;6;4;;2;;;;;2;;;;;2;;;;;1;1;4;1;;2;;;;;2;;;;;7;3;111.7186
5;1;32;49;3;1;1;1;2;3;3;1;2;2;2;1;1;2;1;2;2;1;9;1;1;2;2;1;1;1;24;16;7;33;3;10;4;17;3;1;522;;1530;2;1;5;3;800005;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;60;13;5;;2;;;;;2;;;;;2;;;;;;;115.982
5;1;6;51;1;1;1;1;1;1;1;1;7;1;1;2;2;2;1;1;1;1;1;1;1;2;2;1;2;1;10;1;7;10;1;;57;29;;2;;999;1483;1;1;5;3;800999;2;2;;;;;2;;;;;1;1;19;1;;1;1;4;1;;2;;;;;2;;;;;2;;;;;2;;;;;1;27;3;5;;;;111.7186
5;1;6;54;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;1;2;1;2;1;2;1;2;7;16;86;13;38;22;11;60;7;2;;999;1483;3;1;5;3;700099;2;2;;;;;2;;;;;1;1;6;5;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;9;3;111.7186
5;1;6;55;1;1;1;1;1;1;1;1;7;1;1;1;1;3;1;1;1;1;1;1;1;2;3;1;2;1;10;22;;10;;;11;2;7;1;165;;1483;1;1;5;4;700137;2;1;1;4;4;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;1;4;1;;8;2;115.7969
5;1;29;57;2;2;2;3;1;2;2;1;4;2;2;2;2;2;1;2;2;2;6;2;2;2;2;1;1;1;50;13;3;38;35;37;15;30;7;2;;999;1513;2;1;4;3;800999;2;2;;;;;2;;;;;1;6;7;4;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;3;8;111.7186
5;1;22;58;1;1;1;1;1;1;1;1;7;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;5;4;24;3;45;13;13;16;;1;213;;1483;1;1;5;3;700999;2;2;;;;;2;;;;;1;7;8;4;;1;6;1;4;;2;;;;;2;;;;;2;;;;;2;;;;;1;1;7;4;;2;;115.7969
5;1;4;59;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;7;2;1;2;2;1;2;1;25;3;2;34;3;3;3;2;4;1;165;;1483;3;1;5;3;800999;2;2;;;;;2;;;;;1;1;4;4;2;2;;;;;2;;;;;2;;;;;1;1;4;1;;2;;;;;2;;;;;7;4;111.7186
5;1;24;61;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;1;1;1;3;61;24;3;23;13;4;25;25;1;211;;1483;1;1;5;4;700099;2;2;;;;;2;;;;;1;60;5;4;;1;700;109;4;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;9;7;115.982
5;1;21;63;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;24;7;3;22;4;27;3;11;2;2;;999;1483;3;1;5;4;700099;1;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;1;38;1;;2;;;;;2;;;;;;;128.2149
5;1;26;64;1;1;1;1;1;1;1;1;1;1;1;1;3;2;2;1;1;1;2;3;3;3;3;3;3;3;24;14;6;25;28;29;25;23;26;2;;999;1530;1;1;2;3;700067;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;10;115.7969
5;1;6;66;1;1;1;1;1;1;1;1;5;3;1;1;2;1;1;1;1;1;2;1;1;2;3;1;1;2;3;22;13;2;13;4;4;17;2;2;;999;1483;3;1;1;1;700099;2;1;700;99;;;2;;;;;2;;;;;2;;;;;2;;;;;1;800;1;;;2;;;;;2;;;;;2;;;;;3;1;115.982
5;1;40;67;1;1;1;1;1;1;1;1;5;1;2;2;1;1;2;1;1;1;1;1;1;2;2;1;1;1;16;7;24;9;16;4;3;7;15;2;;999;1483;3;1;3;4;800999;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;700;999;4;;2;;;;;1;700;999;4;;1;1;40;4;;;;111.7186
5;1;5;68;1;1;2;1;1;1;1;1;6;1;1;1;1;2;1;1;1;1;8;1;1;2;1;1;1;2;13;3;1;13;2;3;17;3;;2;;999;1483;1;1;3;4;700999;2;1;1;4;4;;2;;;;;2;;;;;2;;;;;2;;;;;1;46;4;4;;2;;;;;1;1;9;4;;1;1;9;4;;5;9;115.7969
5;1;12;69;2;1;1;1;1;1;1;1;4;1;1;1;1;3;3;1;1;1;2;2;1;2;1;1;1;1;13;3;7;38;10;4;3;15;17;1;346;;1483;3;1;4;3;700099;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;12;;111.7186
5;1;22;70;2;1;1;1;2;1;1;1;7;2;2;1;1;2;1;1;2;1;7;2;1;2;2;1;1;1;1;24;25;34;3;2;3;2;15;2;;999;1483;3;1;5;3;700099;2;2;;;;;2;;;;;2;;;;;1;700;999;5;;2;;;;;2;;;;;1;700;109;5;;2;;;;;1;1;22;5;;5;;128.2149
5;1;6;71;1;1;1;1;1;1;1;1;7;1;1;1;1;2;1;1;1;1;1;1;1;2;2;1;1;1;3;13;22;3;13;1;17;11;3;1;165;;1483;1;1;3;4;700999;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;7;3;111.7186
5;1;40;72;1;1;1;2;2;2;2;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;6;18;27;6;2;15;11;17;2;;999;1483;3;1;5;3;800013;2;2;;;;;2;;;;;2;;;;;1;1;40;1;;2;;;;;2;;;;;2;;;;;2;;;;;1;1;40;1;;2;9;115.982
5;1;19;74;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;1;2;2;1;1;2;3;83;7;10;3;3;83;2;4;2;;999;1483;;2;;;;;1;50;38;4;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;115.7969
5;1;7;75;1;1;1;1;1;1;1;1;5;1;1;2;2;2;1;1;1;1;7;1;2;2;2;2;1;2;3;10;7;19;4;27;17;15;2;2;;999;1483;3;2;;;;;2;;;;;2;;;;;1;1;7;4;;2;;;;;2;;;;;2;;;;;2;;;;;1;1;34;4;;2;;;;;;;115.7969
5;1;4;77;1;1;1;1;1;1;1;1;7;1;2;1;1;1;2;2;2;2;1;1;1;2;2;1;1;1;10;3;;10;;;10;64;;2;;999;1483;3;1;5;3;700109;6;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;9;12;115.7969
5;1;37;78;2;1;1;1;2;2;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;1;1;1;13;3;6;3;36;18;15;17;2;2;;999;1483;1;1;1;1;800013;2;2;;;;;2;;;;;1;11;9;4;;1;6;13;4;;2;;;;;2;;;;;1;11;9;1;;2;;;;;2;;;;;1;3;128.2149
5;1;24;79;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;2;13;10;24;30;27;31;15;17;4;2;;211;1483;1;1;5;2;800013;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;5;2;4;;2;;;;;1;5;2;4;;1;5;2;4;;8;9;111.7186
5;1;33;80;3;1;1;1;1;1;1;1;4;2;2;2;2;2;1;2;2;2;6;1;1;2;2;1;1;2;3;1;10;3;10;11;11;2;14;1;521;;1530;1;1;4;4;700116;2;2;;;;;2;;;;;1;35;2;;;2;;;;;2;;;;;1;35;2;;;1;35;2;;;1;35;2;;;2;;;;;;;115.982
5;1;38;82;1;1;1;1;1;1;1;1;4;1;2;1;1;2;2;1;2;1;7;2;1;2;2;1;1;1;4;3;6;22;4;58;17;17;;2;;999;1483;1;1;5;3;700099;2;2;;;;;2;;;;;1;60;10;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;1;38;;;;;115.7969
5;1;6;83;2;1;1;1;1;1;1;1;7;1;1;1;1;2;1;1;1;1;8;1;2;2;2;2;1;1;24;28;3;28;23;24;3;17;2;;;;1483;2;2;;;;;2;;;;;2;;;;;1;1;6;4;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;8;3;128.2149
5;1;6;84;1;1;2;1;1;1;2;1;7;1;1;1;3;1;2;2;1;1;1;1;1;2;2;1;1;1;3;3;34;3;52;;15;59;;1;172;;1423;1;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;1;16;1;;2;;;;;2;;;;;3;;111.7186
5;1;26;85;2;1;1;1;2;2;1;1;3;1;1;1;2;2;1;1;1;1;2;2;1;2;2;1;1;1;3;22;24;38;22;2;66;25;2;1;5005;;5090;3;1;5;3;700109;2;2;;;;;2;;;;;2;;;;;1;1;26;4;;2;;;;;1;1;26;1;;1;700;109;5;;2;;;;;1;1;6;4;;2;4;111.7186
5;1;6;86;2;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;6;2;1;2;2;1;1;1;3;24;28;3;37;2;3;17;2;1;165;;1483;3;1;4;4;800014;1;2;;;;;2;;;;;1;1;4;5;;2;;;;;2;;;;;2;;;;;1;1;4;5;;2;;;;;2;;;;;3;1;111.7186
5;1;21;87;3;1;1;1;1;1;1;2;3;2;2;2;2;2;1;1;2;2;7;1;1;2;2;1;1;1;7;18;70;1;34;27;23;1;4;1;210;;1483;3;1;5;2;700099;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;38;21;5;;2;;;;;1;8;38;5;;1;38;11;5;;1;12;115.982
5;1;42;88;2;1;2;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;1;24;25;22;3;2;4;8;2;11;2;;999;1457;2;1;5;4;700099;2;2;;;;;2;;;;;1;60;6;5;;1;60;5;5;;2;;;;;2;;;;;2;;;;;2;;;;;1;63;24;5;;;;111.7186
5;1;30;89;1;1;2;1;1;2;1;1;4;2;2;2;1;2;1;1;1;1;6;2;2;2;2;1;1;2;6;1;3;3;1;4;4;15;17;2;;999;1530;3;1;4;3;700001;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;700;1;5;;2;;;;;5;3;115.982
5;1;26;91;2;1;1;1;1;2;1;2;4;2;1;2;2;2;1;2;2;2;6;2;1;2;2;2;2;3;10;11;1;4;2;11;11;3;17;2;;999;1530;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;3;;111.7186
5;1;40;95;2;1;1;1;1;1;1;1;3;1;2;1;1;2;2;2;2;1;9;1;1;2;2;2;1;1;10;1;3;22;3;27;2;4;17;2;;99;1483;2;1;2;4;700139;2;2;;;;;2;;;;;2;;;;;1;1;40;1;;2;;;;;2;;;;;2;;;;;2;;;;;1;1;40;1;;;;128.2149
5;1;19;96;1;1;1;2;1;1;1;1;5;1;1;1;1;1;1;1;1;1;8;1;1;1;2;1;1;2;10;24;25;10;2;54;10;4;17;1;170;;1483;1;1;5;4;700109;2;2;;;;;2;;;;;1;1;19;1;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;115.7969
5;1;4;97;1;1;1;1;1;1;1;1;4;2;1;2;1;2;1;1;1;1;2;2;1;2;2;1;1;1;7;3;7;3;1;4;17;2;7;2;;999;1483;1;1;5;3;700001;2;1;7;18;4;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;9;3;111.7186
5;1;7;98;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;7;7;25;4;27;2;4;17;25;2;;999;1483;1;1;5;4;700109;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;60;34;4;;3;7;115.7969
