FICHE;SECT1;SECT2;ECH;NUMPERS;O1A1;O1A2;O1A3;O1A4;O1A5;O1A6;O1A7;O2 ;O3A1;O3A2;O3A3;O3A4;O3A5;O3A6;O3A7;O3A8;O3A9;O4 ;O5A1;O5A2;O5A3;O5A4;O5A5;O5A6;O5A7;O6A1;O6A2;O6A3;O7A1;O7A2;O7A3;O8A1;O8A2;O8A3;L20 ;L21;L22;L23;L24 ;L25 ;L26 ;L27 ;L28;L29;L17A1 ;L18A1 ;L18B1 ;L19A1 ;L19B1 ;L17A2 ;L18A2 ;L18B2 ;L19A2 ;L19B2 ;L17A3 ;L18A3 ;L18B3 ;L19A3 ;L19B3 ;L17A4 ;L18A4 ;L18B4 ;L19A4 ;L19B4 ;L17A5 ;L18A5 ;L18B5 ;L19A5 ;L19B5 ;L17A6 ;L18A6 ;L18B6 ;L19A6 ;L19B6 ;L17A7 ;L18A7 ;L18B7 ;L19A7 ;L19B7 ;L17A8 ;L18A8 ;L18B8 ;L19A8 ;L19B8 ;L17A9 ;L18A9 ;L18B9 ;L19A9 ;L19B9 ;L30A1 ;L30A2 ;Coef
5;12;1;71;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;1;1;2;2;2;1;13;6;22;25;26;36;15;12;4;2;;999;1564;3;1;5;3;700001;2;1;28;5;4;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;34;9;4;;2;;;;;;;52.7753
5;12;7;73;2;1;1;1;1;1;1;1;7;1;1;1;2;2;2;1;1;1;3;1;1;2;2;1;1;2;13;3;1;26;31;28;25;29;21;2;;999;1487;1;1;5;3;800999;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;35;2;5;;2;;;;;1;28;3;5;;;;51.7857
5;12;9;74;1;1;1;1;1;1;1;1;7;1;1;1;1;1;1;1;1;1;8;2;1;1;2;3;2;1;1;3;7;1;12;14;15;2;4;1;1001;;1564;1;1;5;4;800999;2;2;;;;;2;;;;;1;12;7;;4;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;7;;51.7857
5;12;2;75;1;1;1;1;1;1;1;1;5;1;1;2;1;2;1;1;1;1;1;1;2;2;2;1;1;1;1;3;3;22;25;26;17;29;10;1;1014;;1487;1;1;5;3;800999;2;2;;;;;2;;;;;1;11;9;4;;2;;;;;2;;;;;2;;;;;2;;;;;1;11;6;4;;2;;;;;;;51.7857
5;12;2;76;2;1;1;1;1;1;1;1;6;1;1;2;2;1;1;1;1;1;1;1;1;2;2;2;1;2;3;10;13;35;28;29;25;26;;2;;999;1487;1;1;5;4;800999;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;13;7;5;;;;46.1495
5;12;11;77;1;1;1;1;1;1;1;1;3;1;1;1;2;2;2;1;1;1;1;1;1;2;2;1;1;2;1;16;18;10;14;28;10;3;17;2;;999;1488;2;2;;;;;2;;;;;2;;;;;1;11;9;4;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;12;7;1;;;;46.1495
5;12;1;79;2;1;1;1;1;1;1;1;5;1;1;1;1;2;1;1;1;1;2;1;2;2;1;1;1;1;7;22;18;13;38;14;15;17;4;1;1078;;1564;2;1;5;3;700109;2;2;;;;;2;;;;;1;7;18;4;;1;7;18;4;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;9;3;46.1495
5;12;8;81;2;1;1;1;1;1;1;1;7;2;1;1;1;2;1;1;2;1;2;2;2;2;2;1;2;1;3;6;10;3;10;12;17;3;;1;1011;;1488;2;1;4;4;700001;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;12;5;2;;1;12;9;2;;2;;;;;2;;;;;9;;46.1495
5;12;3;82;1;1;1;1;1;1;1;1;5;1;1;1;2;2;2;1;1;1;1;3;1;2;2;2;2;2;7;13;10;2;3;14;11;3;2;1;1014;;1564;2;1;4;3;700001;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;50;25;4;;1;50;25;4;;;;52.7753
5;12;1;83;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;1;1;1;2;1;2;1;1;1;1;7;24;10;1;13;2;17;7;1;1;1003;;1564;2;1;3;4;700109;2;2;;;;;2;;;;;1;12;7;4;1;1;12;7;1;;2;;;;;1;12;9;1;;2;;;;;2;;;;;2;;;;;3;9;46.1495
5;12;11;85;1;1;2;1;2;2;1;2;1;2;1;1;2;2;2;1;2;2;2;3;3;2;2;3;1;1;98;98;98;98;98;98;98;98;98;2;;999;999;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;52.7753
5;12;1;86;4;1;1;1;1;1;1;1;5;1;1;2;2;2;1;1;1;1;1;1;1;2;2;2;1;2;16;7;6;34;35;28;21;4;3;1;1006;;999;2;1;5;3;700109;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;38.0511
5;12;5;87;1;1;1;1;1;1;1;1;7;2;1;1;2;2;1;1;1;1;7;2;1;1;1;1;1;1;23;24;13;4;1;;16;1;17;1;994;;1487;1;1;5;2;700109;2;2;;;;;2;;;;;1;35;2;4;;1;12;3;4;;2;;;;;2;;;;;1;35;2;4;;1;6;7;5;;2;;;;;3;1;51.7857
5;12;11;90;2;1;1;1;1;1;1;1;4;1;1;1;1;2;1;1;1;1;8;2;3;2;2;1;1;1;7;6;16;10;4;27;17;2;14;1;1003;;1487;2;1;3;3;700109;2;2;;;;;2;;;;;2;;;;;1;12;7;4;1;2;;;;;1;11;7;4;;2;;;;;2;;;;;1;11;7;4;;;;46.1495
5;12;11;91;3;1;2;1;2;1;1;1;5;1;2;1;1;2;1;1;2;1;7;2;1;2;2;1;1;1;7;22;3;13;22;9;25;4;26;1;1003;;1488;2;1;5;3;800999;5;2;;;;;2;;;;;2;;;;;1;27;14;2;;2;;;;;1;27;14;2;1;2;;;;;1;27;14;2;;1;27;14;2;1;;;38.0511
5;12;1;92;2;1;1;1;1;1;1;1;5;1;1;1;1;2;1;1;1;1;7;1;1;2;1;1;1;2;1;3;6;10;28;2;17;2;4;1;1002;;1564;2;1;5;4;800999;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;11;6;4;;2;;;;;2;;;;;2;;;;;1;3;46.1495
5;12;1;95;1;1;1;1;1;1;1;1;5;1;2;1;1;3;2;1;1;1;3;1;1;2;2;1;1;1;27;3;22;38;2;13;4;8;14;1;1003;;1564;1;2;;;;;2;;;;;2;;;;;1;7;18;4;;1;12;7;1;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;8;2;52.7753
5;12;8;98;1;1;2;2;2;2;2;1;1;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;98;98;98;98;98;;;;;2;;;;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;52.7753
5;12;4;99;2;1;1;1;1;3;1;2;6;1;2;1;1;3;1;2;1;1;4;2;1;2;2;1;1;1;10;22;27;13;4;14;17;4;2;2;;999;1564;1;1;5;3;800001;2;1;37;13;7;1;2;;;;;2;;;;;2;;;;;2;;;;;1;37;5;5;;2;;;;;2;;;;;2;;;;;2;8;46.1495
5;12;8;100;2;1;2;2;1;2;2;2;4;1;1;1;3;3;3;1;1;1;1;1;1;1;1;1;3;1;3;29;6;;;;;;;1;2;;999;1;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;46.1495
5;12;2;102;1;1;1;1;1;1;1;1;5;1;1;1;1;2;1;1;1;1;8;2;1;2;2;1;1;2;3;7;22;23;22;28;4;3;25;1;1014;;1564;2;1;5;3;800006;2;2;;;;;2;;;;;1;7;18;4;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;46.1495
5;12;9;103;1;1;1;1;1;1;1;1;7;2;1;1;1;2;1;1;1;1;8;1;1;2;2;1;1;1;6;7;11;9;10;35;21;2;4;1;1014;;1564;3;1;6;3;700999;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;12;5;4;;2;;;;;2;;;;;1;13;1;4;;12;;52.7753
5;12;4;104;1;1;1;1;1;1;1;1;4;1;2;1;1;1;1;1;1;1;7;1;1;2;2;1;1;1;7;22;3;13;6;22;10;4;25;1;994;;1564;2;1;5;3;800006;4;1;11;8;2;;2;;;;;2;;;;;2;;;;;1;12;7;2;;2;;;;;2;;;;;1;12;3;1;;2;;;;;;;46.1495
5;12;10;105;1;1;2;2;1;2;1;1;7;1;1;1;2;2;1;1;1;1;7;2;1;2;2;1;1;1;10;13;3;13;18;6;7;25;3;1;1014;;1488;1;1;5;3;800013;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;12;6;46.1495
5;12;5;106;2;1;1;1;1;2;1;1;4;2;1;1;1;2;1;2;1;2;6;1;1;2;2;1;1;1;1;3;24;21;23;4;11;38;4;1;1005;;1487;3;1;4;4;700116;2;1;10;18;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;6;24;;;2;;;;;12;1;51.7857
5;12;6;107;1;1;1;1;1;1;1;1;5;1;1;3;3;3;1;2;2;1;1;3;2;2;2;1;3;1;3;6;7;2;4;9;;;;2;;999;1513;2;1;4;4;700109;2;2;;;;;2;;;;;1;30;1;9;;2;;;;;2;;;;;1;30;1;9;;2;;;;;2;;;;;2;;;;;;;46.1495
5;12;5;111;1;2;1;1;1;1;1;1;5;1;2;1;1;1;1;1;1;1;9;2;1;2;2;1;1;1;3;7;;4;6;93;15;12;4;1;1014;;1564;3;1;3;3;800006;2;2;;;;;2;;;;;1;9;18;4;;1;6;13;4;;2;;;;;2;;;;;2;;;;;2;;;;;1;9;25;4;;;;52.7753
5;12;3;113;2;1;1;1;2;1;1;1;1;1;1;2;1;2;1;2;1;2;1;2;2;1;1;1;1;2;3;6;11;10;22;34;2;8;15;1;1014;;1564;2;1;5;3;800999;2;2;;;;;2;;;;;1;11;9;4;;2;;;;;2;;;;;2;;;;;1;12;5;1;;2;;;;;2;;;;;1;3;46.1495
5;12;1;114;1;1;2;2;1;1;1;1;1;1;1;2;1;1;1;1;2;1;6;1;2;2;1;1;1;1;18;7;18;2;29;34;90;18;4;1;1006;;1487;3;1;3;3;700109;2;2;;;;;2;;;;;2;;;;;1;12;7;7;;2;;;;;2;;;;;1;65;11;4;1;2;;;;;1;12;11;2;;1;7;52.7753
5;12;8;115;1;1;2;1;1;1;1;1;7;1;1;1;1;2;1;1;1;1;3;2;2;2;2;1;1;2;7;7;6;10;22;11;17;3;25;1;1016;;1564;2;1;5;4;800013;2;2;;;;;2;;;;;1;6;7;4;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;918;279;4;;;;51.4271
5;12;10;116;1;1;1;1;1;1;1;1;5;1;1;1;1;2;1;1;1;1;7;1;1;2;2;1;1;1;10;27;6;3;25;32;11;12;14;1;1014;;1564;1;1;5;3;800999;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;11;14;1;;2;;;;;2;;;;;2;;;;;3;;52.7753
5;12;8;117;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;1;1;4;2;1;2;2;1;1;2;1;22;3;3;2;;2;17;3;1;1014;;1564;1;1;5;3;800999;4;2;;;;;2;;;;;1;11;9;9;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;11;14;2;;3;;52.7753
5;12;3;118;1;1;1;1;1;1;1;1;7;1;1;1;1;1;1;1;1;1;7;1;1;2;2;1;1;2;1;7;24;3;10;34;2;8;17;1;995;;1563;1;1;5;3;800999;2;2;;;;;2;;;;;1;11;9;;1;2;;;;;2;;;;;2;;;;;1;12;7;;1;1;14;5;;1;2;;;;;1;7;51.4271
5;12;8;119;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;2;2;3;2;2;2;18;13;21;13;33;2;15;7;1;1001;;1564;3;1;5;4;700109;2;2;;;;;2;;;;;1;11;9;4;;2;;;;;2;;;;;2;;;;;1;12;9;1;;2;;;;;2;;;;;5;1;38.0511
5;12;4;120;1;1;1;1;1;1;1;1;5;1;2;1;1;2;1;1;1;1;9;1;1;2;2;2;1;1;10;22;7;13;22;5;4;8;17;2;;65;1564;2;1;5;4;800006;2;2;;;;;2;;;;;1;11;9;4;;1;12;3;1;;2;;;;;2;;;;;1;12;4;1;;1;15;5;4;;1;15;5;4;;3;6;52.7753
5;12;1;121;1;1;1;1;1;1;1;1;6;1;2;1;2;2;1;1;1;1;7;2;1;2;2;1;1;2;88;22;6;1;13;5;7;4;25;2;;62;1564;2;2;;;;;2;;;;;2;;;;;1;11;9;5;;1;7;18;5;;2;;;;;2;;;;;1;12;1;1;;2;;;;;1;12;10;1;;;;46.1495
5;12;5;122;1;1;1;1;1;1;1;1;5;1;1;1;1;2;1;1;1;1;2;2;1;2;2;1;1;1;22;3;7;3;22;1;8;17;25;1;995;;1564;3;1;5;3;700109;2;2;;;;;2;;;;;1;11;9;4;;2;;;;;2;;;;;2;;;;;1;37;13;9;;2;;;;;2;;;;;7;;58.8107
5;12;2;123;2;1;2;1;1;1;1;1;7;1;2;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;13;10;3;5;9;3;14;11;1;1014;;1564;2;1;5;3;800999;2;2;;;;;2;;;;;1;1;4;4;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;2;51.7857
5;12;11;124;1;1;1;1;1;1;1;1;3;1;1;1;1;2;1;1;1;1;6;2;1;2;2;1;1;2;25;24;13;13;3;2;25;2;;2;;6;163;1;1;4;4;700999;3;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;12;;52.7753
5;12;5;125;1;3;2;2;1;3;1;1;4;1;1;1;3;3;1;1;3;1;1;2;1;2;1;1;1;1;3;22;27;2;5;9;;;;1;1005;;1564;2;1;4;4;800999;4;2;;;;;2;;;;;1;11;9;9;;2;;;;;2;;;;;2;;;;;1;11;9;9;;2;;;;;2;;;;;;;52.7753
5;12;4;126;1;1;1;1;1;3;3;1;1;1;1;3;2;2;2;1;1;1;2;1;1;2;2;2;1;2;1;3;16;2;32;35;2;17;15;1;1014;;1564;2;1;5;4;800999;2;1;16;11;4;;2;;;;;2;;;;;2;;;;;2;;;;;1;12;4;4;;2;;;;;2;;;;;1;11;3;4;;3;7;46.1495
5;12;2;127;1;1;1;1;1;1;1;1;7;1;1;1;1;2;1;1;1;1;9;2;1;2;2;1;1;2;3;6;1;1;28;;17;4;;1;1003;;1564;2;1;5;3;700009;2;2;;;;;2;;;;;1;11;9;4;;2;;;;;2;;;;;2;;;;;1;12;7;4;;2;;;;;1;11;10;4;;;;52.7753
5;12;11;129;1;1;1;1;1;1;1;1;7;1;1;1;1;1;1;1;1;1;7;2;1;2;2;1;1;1;13;5;7;16;14;27;7;3;4;2;;999;1564;2;1;5;3;700109;2;2;;;;;2;;;;;1;16;2;4;;1;800;3;4;;2;;;;;2;;;;;2;;;;;2;;;;;1;17;6;4;;1;3;52.7753
5;12;2;130;1;1;1;1;1;1;1;2;4;2;2;2;2;2;2;1;1;1;7;2;1;2;2;1;1;1;22;24;13;9;12;21;4;7;11;1;1002;;1487;3;1;5;4;700109;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;56;6;4;;7;3;52.7753
5;12;4;131;1;1;1;2;2;1;1;1;5;2;2;2;2;3;1;2;1;2;6;1;1;2;1;1;1;2;22;3;1;2;21;5;2;15;12;2;;1002;1564;1;1;4;4;800999;2;2;;;;;2;;;;;1;30;1;;;2;;;;;2;;;;;1;988;160;;;1;988;160;;;1;988;160;;;1;988;160;;;;;52.7753
5;12;8;133;1;1;1;1;1;1;1;1;7;2;1;1;1;2;1;1;1;1;8;1;1;2;1;1;1;1;10;22;24;3;;;17;4;2;1;1014;;1564;1;1;5;3;700109;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;12;8;1;;2;;;;;2;;;;;2;;;;;3;;52.7753
5;12;2;138;1;1;1;2;2;2;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;2;2;1;1;2;15;3;24;4;10;3;90;4;2;2;;66;1563;2;1;3;3;700998;2;2;;;;;2;;;;;2;;;;;1;37;2;2;;2;;;;;1;37;2;2;;1;37;2;2;;2;;;;;2;;;;;1;9;52.7753
5;12;9;140;1;1;1;1;1;1;1;1;4;1;2;2;2;2;1;2;2;2;6;1;1;1;3;1;1;3;1;6;13;4;6;34;21;25;15;2;;6;1487;2;1;5;4;800999;2;2;;;;;2;;;;;1;12;3;4;;2;;;;;2;;;;;1;14;6;4;;1;14;8;1;;2;;;;;2;;;;;2;3;46.1495
5;12;5;143;1;1;1;1;1;1;1;1;7;2;1;1;1;1;2;1;1;1;5;2;1;2;1;1;1;2;7;1;3;13;4;32;15;8;25;1;1014;;1564;2;1;5;4;700109;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;61;82;5;;1;61;82;1;;1;61;82;1;;1;61;82;1;;3;9;52.7753
5;13;3;1;1;1;1;1;2;3;1;1;1;2;2;2;2;3;1;2;2;2;6;2;1;2;2;1;1;2;11;6;;10;3;;13;17;;1;1036;;1511;2;1;3;4;800999;2;2;;;;;2;;;;;1;13;2;2;;1;13;11;2;;2;;;;;2;;;;;1;8;37;2;;2;;;;;2;;;;;;;78.2619
5;13;2;4;1;1;2;2;1;2;1;1;7;1;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;1;1;3;;3;10;;98;;98;1;1042;;1512;1;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;94.9182
5;13;11;5;1;1;1;1;1;1;1;1;5;1;2;2;2;3;1;1;1;1;9;1;1;2;2;1;1;1;15;3;;3;1;;12;17;;1;1043;;1511;2;1;5;4;700109;2;2;;;;;2;;;;;1;17;2;5;4;2;;;;;2;;;;;1;938;928;;;2;;;;;1;13;10;;;1;938;928;;;12;;106.5105
5;13;1;6;2;1;1;1;1;1;1;1;7;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;1;12;24;3;5;22;4;29;17;1;1042;;999;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;106.5105
5;13;1;8;1;1;1;1;1;1;1;1;7;1;1;1;1;2;1;1;1;1;2;1;1;2;2;2;1;1;3;1;6;3;1;27;17;18;;1;1042;;1512;2;1;4;4;700001;2;2;;;;;2;;;;;2;;;;;1;13;2;1;;2;;;;;2;;;;;1;13;8;1;;1;37;7;4;1;2;;;;;12;;108.5459
5;13;1;9;1;1;2;2;1;2;2;1;7;1;1;1;1;1;2;1;1;1;2;2;1;2;2;2;2;2;5;8;9;24;22;26;17;25;29;1;1042;;1512;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;6;4;108.5459
5;13;5;10;2;1;3;1;2;3;1;1;1;1;1;3;3;3;2;3;2;1;1;3;1;2;1;2;1;2;1;6;11;28;31;34;29;15;17;1;1043;;1511;3;1;5;3;700109;2;2;;;;;2;;;;;1;15;2;4;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;3;;106.5105
5;13;11;11;3;1;3;2;1;1;1;1;7;3;1;1;1;2;1;1;1;2;4;2;1;1;1;3;1;2;1;5;13;1;34;3;2;4;21;2;;999;1511;1;1;5;2;700109;2;2;;;;;2;;;;;1;7;25;4;;2;;;;;2;;;;;1;7;25;4;;2;;;;;2;;;;;1;7;25;4;;7;1;106.5105
5;13;6;12;2;2;1;1;1;1;1;1;7;1;1;1;1;1;1;1;1;1;7;1;1;2;2;2;2;2;5;1;6;;;;;;;2;;13;1511;3;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;12;1;94.9182
5;13;10;14;1;1;2;1;1;2;1;1;1;2;2;2;2;2;1;1;1;2;7;2;1;1;1;1;1;1;3;16;16;10;27;28;27;25;11;1;1033;;1511;1;1;3;3;800999;2;2;;;;;2;;;;;2;;;;;1;13;2;1;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;6;3;94.9182
5;13;1;15;2;1;1;1;1;2;2;1;7;2;2;1;1;2;1;1;1;1;7;2;2;3;3;3;2;2;6;5;22;22;24;31;17;15;16;2;;13;1512;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;6;9;94.9182
5;13;5;17;1;1;3;1;1;1;2;2;5;1;2;1;3;3;1;1;1;1;3;1;1;1;1;1;1;1;22;24;;3;;;;;;1;1043;;1511;2;1;5;4;800999;2;2;;;;;2;;;;;2;;;;;1;13;5;1;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;120.9592
5;13;1;18;1;1;1;1;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;3;1;1;2;2;1;2;11;1;7;29;14;16;17;27;21;2;;13;1511;2;1;5;4;700109;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;12;;108.5459
5;13;7;23;2;1;1;1;1;1;1;1;7;2;2;1;3;3;1;1;1;1;9;2;1;2;2;1;1;1;24;;;3;21;;27;38;;1;1043;;1511;3;1;5;4;800999;2;2;;;;;2;;;;;1;7;17;5;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;12;94.9182
5;13;2;24;1;1;1;1;1;1;1;1;7;1;1;1;1;2;1;1;2;2;2;2;1;2;2;1;1;1;;;;6;32;28;25;4;10;2;;999;999;1;2;;;;;2;;;;;2;;;;;1;13;8;1;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;3;108.5459
5;13;6;25;1;1;1;1;1;1;1;2;1;2;2;1;1;3;1;2;1;1;4;2;2;2;2;1;1;1;24;28;36;22;38;;3;7;;1;1044;;1511;2;1;5;3;700109;2;2;;;;;2;;;;;2;;;;;1;13;6;1;;2;;;;;1;13;8;2;;2;;;;;2;;;;;2;;;;;;;78.2619
5;13;1;26;1;1;2;1;1;3;1;1;7;2;1;1;1;3;1;1;1;1;2;3;1;2;1;1;2;2;7;3;;4;5;;17;11;;2;;13;1511;1;1;4;2;800999;2;2;;;;;2;;;;;2;;;;;1;13;2;1;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;108.5459
5;13;9;28;1;1;2;1;1;1;1;1;1;2;1;1;1;3;1;1;1;1;9;2;3;2;2;1;1;1;3;24;;3;38;;3;17;60;2;;15;1511;1;1;5;3;800999;2;2;;;;;2;;;;;1;13;2;4;;2;;;;;2;;;;;1;37;2;4;9;2;;;;;1;13;8;4;;2;;;;;3;;108.5459
5;13;3;30;1;1;2;2;1;1;1;1;5;1;2;2;2;2;1;2;2;2;1;2;1;2;2;1;2;1;1;24;3;3;10;13;16;3;2;1;1255;;1511;1;1;5;3;800005;4;1;11;9;2;9;2;;;;;2;;;;;1;35;2;9;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;108.5459
5;13;6;31;1;1;1;1;1;2;1;1;1;1;2;1;1;2;1;2;2;2;3;2;1;2;2;1;1;1;3;24;;3;2;4;3;4;17;1;1044;;1513;3;1;5;3;800999;2;1;30;2;9;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;7;3;120.9592
5;13;8;32;2;1;2;1;1;2;1;1;6;2;2;2;1;1;1;2;1;1;6;1;1;2;1;1;2;2;1;24;6;26;22;21;16;10;9;2;;13;1511;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;2;94.9182
5;13;6;33;2;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;6;1;1;2;2;2;1;1;5;1;13;22;25;35;15;2;11;1;1043;;1511;1;1;5;3;800005;2;2;;;;;2;;;;;2;;;;;1;13;8;4;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;105.773
5;13;6;34;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;3;13;16;22;3;28;15;11;;1;1029;;1511;1;1;5;3;800010;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;;108.5459
5;13;8;36;1;1;2;2;1;2;2;1;7;1;2;1;2;2;1;1;2;1;1;2;1;2;2;1;2;1;1;16;6;3;10;35;29;25;;2;;15;1511;1;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;15;9;8;;;;108.5459
5;13;8;37;1;1;1;1;1;1;1;1;5;2;1;1;1;2;1;1;1;1;8;1;1;2;2;1;1;2;24;33;;10;13;;25;;;1;1043;;1511;3;1;5;3;800999;2;1;968;224;6;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;7;9;106.5105
5;13;6;39;1;1;3;1;3;3;1;1;3;1;1;3;3;3;3;2;2;2;1;1;1;2;1;3;3;3;25;98;98;32;98;98;17;98;98;2;;15;1511;1;1;3;4;800999;6;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;120.9592
5;13;5;40;4;1;1;2;1;1;1;1;1;1;2;2;2;2;1;1;2;2;1;2;1;2;2;1;1;1;1;3;11;3;16;13;5;10;15;1;1043;;1512;1;2;;;;;1;14;5;8;9;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;3;1;77.0031
5;13;1;41;1;1;1;1;1;1;1;1;7;1;1;1;1;3;1;1;1;1;2;2;2;2;2;1;1;1;24;27;22;3;2;3;7;27;17;2;;13;1511;1;1;5;4;800999;2;1;12;7;4;;2;;;;;2;;;;;1;12;7;4;1;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;5;7;78.2619
5;13;5;42;1;2;2;1;1;2;1;2;6;1;2;1;2;2;1;2;2;1;1;2;3;2;1;2;1;1;22;24;25;3;4;;3;38;;1;1043;;1511;3;1;5;4;800999;2;2;;;;;2;;;;;1;13;8;5;;1;13;5;1;;2;;;;;2;;;;;2;;;;;1;14;2;9;;1;14;2;9;;;;120.9592
5;13;2;43;2;1;1;1;1;1;1;1;3;1;1;2;2;2;1;1;1;1;9;1;1;1;2;1;1;1;13;3;1;3;1;32;93;4;11;2;;13;1511;1;1;5;4;800999;2;2;;;;;2;;;;;2;;;;;1;13;2;1;;2;;;;;2;;;;;1;13;2;1;;2;;;;;2;;;;;5;3;94.9182
5;13;5;46;1;1;1;1;1;1;1;1;7;1;2;2;2;1;1;1;1;1;7;1;1;2;2;1;2;1;1;3;5;14;22;21;4;2;17;1;1043;;1511;3;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;12;1;94.9182
5;13;2;47;2;1;1;1;2;1;1;2;1;1;1;1;1;3;1;1;1;1;9;2;1;1;2;1;1;1;13;22;;3;38;13;3;25;;1;1039;;1512;2;1;5;4;700109;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;26;3;4;;1;37;4;4;;2;;;;;2;;;;;3;6;94.9182
