FICHE;SECT1;SECT2;ECH;NUMPERS;P2;P3;P4;P5;P6;P7;P8;P9;P10;Codif_PCS;P14;P15SECTEUR;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P1;P12A1;P12B1;P13A1;P12A2;P12B2;P13A2;P12A3;P12B3;P13A3;L10;L11;L12;P24A;P24B;Coef
2;01;042;029;01;1;1;69;1;1;1;1;7;0;55;;;;;;3;5;2;5;5;5;2;1;5;;;;;;;;;;;;5;5;111.7186
2;01;042;029;02;2;2;69;2;2;2;1;7;0;82;;;;;;5;5;5;2;5;5;2;1;5;;;;;;;;;;;;5;5;111.7186
2;01;012;030;01;2;1;29;1;1;1;3;1;0;32;2;011006;1;3;;5;5;1;4;4;4;1;1;5;;;;;;;;;;98;4;5;5;115.7969
2;01;041;031;01;1;1;55;1;2;1;2;1;0;61;2;800001;1;3;;3;5;1;5;5;4;1;1;5;;;;;;;;;;79;3;5;5;111.7186
2;01;041;031;02;2;2;52;1;2;1;2;9;0;61;;;;;;5;5;4;2;5;5;1;1;5;;;;;;;;;;;;5;5;111.7186
2;01;028;033;01;1;2;55;2;2;1;3;1;0;61;2;027001;1;1;;3;5;1;3;1;4;1;1;5;;;;;;;;;;82;3;5;5;111.7186
2;01;028;033;02;2;1;55;1;2;1;2;2;0;55;2;011009;1;1;;3;5;1;3;1;4;1;1;1;2;1;;;;;;;;86;4;4;5;111.7186
2;01;012;034;01;2;1;54;1;1;1;2;1;0;36;2;001014;1;3;;5;5;1;5;4;4;1;1;5;;;;;;;;;;94;1;5;5;115.7969
2;01;034;036;01;1;1;32;1;1;1;6;1;0;47;2;025006;1;1;;4;4;1;4;4;4;1;1;5;;;;;;;;;;01;5;5;4;115.9820
2;01;034;036;02;2;2;30;1;1;1;6;1;0;31;2;060002;1;2;;5;5;1;1;5;5;1;1;5;;;;;;;;;;06;5;5;5;115.9820
2;01;034;036;03;2;3;01;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;115.9820
2;01;019;037;01;2;1;36;1;2;2;2;8;0;55;;;;;;2;5;5;5;5;3;1;1;5;;;;;;;;;;;;3;5;111.7186
2;01;019;037;02;2;3;08;2;2;2;0;5;0;83;2;001004;;;;2;5;5;5;5;3;1;1;5;;;;;;;;;;;;3;5;111.7186
2;01;012;038;01;2;1;60;1;1;1;1;7;0;51;;;;;;5;5;5;2;4;4;1;1;5;;;;;;;;;;;;5;5;111.7186
2;01;012;038;02;1;2;58;1;1;1;1;7;0;47;;;;;;5;5;1;5;5;5;1;1;5;;;;;;;;;;;;5;5;111.7186
2;01;030;040;01;2;1;40;1;1;1;2;1;0;61;2;014007;1;2;;4;5;1;2;5;4;1;1;5;;;;;;;;;;94;2;5;5;111.7186
2;01;030;040;02;1;2;39;1;1;1;3;1;0;61;2;014007;1;2;;4;5;1;5;5;4;1;1;5;;;;;;;;;;96;2;5;5;111.7186
2;01;037;042;01;2;1;52;1;1;1;3;1;0;47;2;028005;1;2;;3;5;1;5;4;4;1;1;5;;;;;;;;;;07;6;5;5;115.7969
2;01;040;043;01;1;1;62;1;2;1;2;7;0;66;;;;;;3;5;1;2;4;4;2;1;5;;;;;;;;;;;;5;5;111.7186
2;01;040;043;02;2;2;58;2;2;1;2;1;0;56;2;001040;;;;3;5;1;2;4;4;1;1;5;;;;;;;;;;;;5;5;111.7186
2;01;022;044;01;1;1;64;1;2;1;1;7;0;61;;;;;;5;5;2;2;5;5;1;1;5;;;;;;;;;;;;5;5;111.7186
2;01;022;044;02;2;2;62;2;2;1;1;7;0;31;;;;;;5;5;2;2;5;5;1;1;5;;;;;;;;;;;;5;5;111.7186
2;01;037;046;01;1;1;78;1;2;1;1;7;0;10;;;;;;3;5;1;5;5;5;1;1;5;;;;;;;;;;;;5;5;115.7969
2;01;034;047;01;2;1;45;1;2;1;3;1;0;54;2;001017;1;2;;4;5;1;4;5;3;1;1;5;;;;;;;;;;88;2;5;5;111.7186
2;01;034;047;02;2;3;17;1;1;3;2;3;0;89;2;968224;;;;4;5;5;1;2;2;3;1;1;2;1;;;;;;;75;;;2;2;111.7186
2;01;005;048;01;1;1;71;1;2;1;2;7;0;21;;;;;;1;5;1;5;5;4;1;1;5;;;;;;;;;;;;5;5;111.7186
2;01;005;048;02;2;2;65;1;2;1;1;7;0;21;;;;;;1;5;2;4;5;4;2;1;5;;;;;;;;;;;;5;5;111.7186
2;01;032;049;01;1;1;49;1;1;1;5;1;0;23;2;968063;1;2;;4;3;1;4;5;4;1;1;5;;;;;;;;;;96;2;5;5;115.9820
2;01;032;049;02;2;2;45;1;1;1;2;2;0;55;2;001004;1;1;;4;5;1;2;5;2;1;1;5;;;;;;;;;;02;6;5;5;115.9820
2;01;032;049;03;1;3;18;1;1;3;0;5;0;85;2;028002;3;;3;1;4;2;1;1;1;1;1;2;2;1;1;2;1;;;;37;;;1;5;115.9820
2;01;006;051;01;2;1;20;1;2;2;3;8;0;56;;;;;;5;5;5;2;4;3;1;1;5;;;;;;;;;;;;5;5;111.7186
2;01;006;051;02;2;3;01;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;111.7186
2;01;006;054;01;1;1;62;1;1;1;5;7;0;41;;;;;;4;5;1;2;4;4;1;1;5;;;;;;;;;;;;5;4;111.7186
2;01;006;054;02;2;2;60;1;1;1;5;7;0;41;;;;;;4;5;1;1;4;4;1;1;5;;;;;;;;;;;;5;4;111.7186
2;01;006;055;01;2;1;50;1;2;1;2;1;0;54;2;001017;1;3;;2;5;2;4;4;4;1;1;5;;;;;;;;;;95;2;4;4;115.7969
