FICHE;DATEJJ;DATEMM;DATEAA;SECT1;SECT2;ECH;JOURSEM_DEP;M1;M2;M3;M4;M5;M6;M7A1 ;M8A1;M9A1;M10A1;M11A1 ;M12A1 ;M13A1 ;M7A2 ;M8A2;M9A2;M10A2;M11A2 ;M12A2 ;M13A2 ;M7A3 ;M8A3;M9A3;M10A3;M11A3 ;M12A3 ;M13A3 ;M7A4 ;M8A4;M9A4;M10A4;M11A4 ;M12A4 ;M13A4 ;Coef;L1 ;L2 ;L3 ;L4 ;L5A1 ;L32A1 ;L5A2;L32A2 ;L5A3 ;L32A3 ;L5A4 ;L32A4 ;L6 ;L7 ;L8 ;L9 ;L31 ;R1 ;R2 ;R3 ;R4 
1;18;03;09;59;017;075;2;1;2;1;1;1;1;1;3;2007;06;1;1;1;;;;;;;;;;;;;;;;;;;;;;044.4261;2;20;3;1993;2007;2;;;;;;;1;2;1;1;08;000550;;000200;
1;12;03;09;59;017;078;3;3;4;2;;1;1;1;3;1988;09;1;3;2;;;;;;;;;;;;;;;;;;;;;;051.5494;1;;1;2008;2007;2;;;;;;;0;3;;;05;;000425;000250;
1;31;03;09;59;001;080;1;1;1;1;2;2;1;4;3;2007;05;1;2;2;;;;;;;;;;;;;;;;;;;;;;051.5494;1;;0;1967;2007;2;;;;;;;0;3;1;4;07;;;000100;000120
1;07;04;09;59;026;081;1;1;1;1;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;051.5494;1;;0;1967;;;;;;;;;0;4;;;03;;;000341;
1;12;03;09;59;017;082;3;2;4;1;1;1;1;1;1;1993;09;1;1;2;;;;;;;;;;;;;;;;;;;;;;051.5494;1;;1;2004;2007;2;;;;;;;2;2;1;4;05;;000540;000140;
1;07;04;09;59;022;086;1;1;1;1;1;1;2;1;1;2001;07;1;1;2;1;1;2005;07;1;1;2;;;;;;;;;;;;;;;051.5494;2;;2;1990;2001;2;2006;2;;;;;3;2;1;4;07;;;000400;
1;05;05;09;59;005;087;1;2;1;1;1;1;2;1;3;2008;06;1;1;2;3;3;1996;06;1;1;2;;;;;;;;;;;;;;;051.5494;1;;2;1990;2008;2;2006;2;;;;;1;1;2;;03;;;;000350
1;15;04;09;59;017;088;2;3;2;1;1;1;3;1;3;2003;04;1;2;2;1;4;1998;07;1;1;2;1;1;1993;07;1;2;2;;;;;;;;063.0772;1;20;2;2007;2004;2;2003;2;2009;2;;;2;2;1;3;05;002200;;000300;
1;16;04;09;59;004;089;3;1;1;1;1;1;2;1;1;1985;07;1;1;2;1;1;1998;06;1;1;2;;;;;;;;;;;;;;;063.0772;1;;2;1943;1990;2;1998;2;;;;;2;1;1;4;07;;;000861;
1;13;05;09;59;019;093;2;3;3;1;1;1;2;1;3;2002;05;1;1;2;1;3;1999;05;1;1;2;;;;;;;;;;;;;;;008.3972;3;;2;1983;2008;2;2002;2;;;;;2;2;1;4;04;;000356;000289;000190
1;06;05;09;59;013;094;2;1;1;1;1;2;2;1;3;2007;06;1;1;2;1;3;2005;06;1;1;2;;;;;;;;;;;;;;;051.5494;1;;2;1974;2008;2;2008;2;;;;;2;2;2;;04;;;000453;
1;14;05;09;59;010;095;3;1;1;1;1;1;2;1;3;1990;07;1;1;2;1;3;1999;06;1;1;2;;;;;;;;;;;;;;;051.5494;1;;2;1966;1992;2;2000;2;;;;;1;4;;;02;;;000407;
1;08;05;09;59;022;096;4;3;4;2;;2;1;1;3;2000;05;1;1;2;;;;;;;;;;;;;;;;;;;;;;051.5494;1;;0;1978;2001;2;;;;;;;0;3;;;04;;000110;000140;
1;05;05;09;59;018;097;1;2;4;2;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;061.6711;1;;1;2008;;;;;;;;;2;2;2;;02;;000525;000150;
1;07;05;09;59;009;098;3;1;1;1;1;1;2;1;2;1989;06;1;1;2;1;2;1997;06;1;1;2;;;;;;;;;;;;;;;051.5494;2;;3;2004;1989;2;1997;2;;;;;2;2;1;4;05;;;;
1;13;05;09;59;026;099;2;2;1;1;1;1;3;1;3;1994;04;1;1;2;1;3;2004;05;1;1;2;1;3;2005;05;1;1;2;;;;;;;;063.0772;1;;3;1991;1994;2;2005;2;2006;2;;;3;4;;;11;;;;
1;19;05;09;59;017;103;1;1;2;1;1;1;1;1;3;2001;07;1;1;2;;;;;;;;;;;;;;;;;;;;;;063.0772;5;30;1;2007;2006;2;;;;;;;2;2;2;;07;000800;;;
1;07;05;09;59;017;105;3;1;4;1;2;2;1;1;3;2007;12;1;1;3;;;;;;;;;;;;;;;;;;;;;;063.0772;1;;0;1999;2007;2;;;;;;;3;3;;;04;;000650;000250;000300
1;04;06;09;59;017;106;3;2;1;1;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;061.6711;1;;2;1986;;;;;;;;;0;2;2;;11;;;000475;
1;04;06;09;59;022;108;3;3;3;1;1;1;1;1;1;1995;05;1;2;2;;;;;;;;;;;;;;;;;;;;;;008.3972;3;;0;2004;2007;2;;;;;;;0;3;;;11;;000480;000120;
1;06;06;09;59;023;110;5;2;2;1;1;1;2;1;3;2000;10;1;1;2;3;3;1995;06;3;1;2;;;;;;;;;;;;;;;064.1402;1;15;2;2000;2008;2;1995;2;;;;;7;2;1;4;05;000700;;000610;
1;03;06;09;59;019;113;2;1;2;1;1;1;2;1;3;1996;06;1;1;2;1;3;2002;05;1;1;2;;;;;;;;;;;;;;;063.0772;2;20;3;1999;1996;2;2008;2;;;;;2;3;;;07;000830;;000160;000200
1;03;04;09;59;017;520;4;2;3;1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;008.2100;3;;1;2008;;;;;;;;;1;2;2;;03;;000290;000040;
1;15;04;09;59;017;523;2;4;4;1;1;1;1;1;1;1990;04;1;2;2;;;;;;;;;;;;;;;;;;;;;;061.6711;1;;0;2009;2008;2;;;;;;;0;2;1;4;03;;000270;000030;
1;15;04;09;59;022;535;2;4;3;1;1;1;1;1;3;2001;04;1;1;2;;;;;;;;;;;;;;;;;;;;;;008.3972;1;;1;2007;2002;2;;;;;;;3;2;1;4;04;;000450;000150;
1;15;04;09;59;017;536;2;4;4;1;1;1;1;1;3;1999;07;1;1;3;;;;;;;;;;;;;;;;;;;;;;051.5494;1;;0;1998;2007;2;;;;;;;2;3;;;06;;000475;000050;
1;07;04;09;59;022;547;1;4;3;1;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;008.2100;1;;0;1986;;;;;;;;;1;1;2;;03;;000300;000180;
1;17;04;09;59;019;554;4;5;3;1;1;1;2;1;1;1994;04;1;3;2;1;3;2003;12;1;1;2;;;;;;;;;;;;;;;008.3972;4;;1;2008;2009;2;2008;2;;;;;0;3;;;05;;000370;000160;000300
1;12;05;09;59;019;555;1;3;3;1;1;2;1;1;1;1996;05;1;3;2;;;;;;;;;;;;;;;;;;;;;;008.2100;5;;0;2000;2006;2;;;;;;;1;2;1;4;03;;000170;000150;
1;05;06;09;59;022;559;4;4;3;1;1;1;1;1;1;1997;04;1;3;2;;;;;;;;;;;;;;;;;;;;;;008.2100;4;;0;2006;2008;2;;;;;;;1;2;1;4;02;;000232;000045;
1;07;04;09;59;019;560;1;3;3;1;1;2;1;1;3;2001;04;1;1;2;;;;;;;;;;;;;;;;;;;;;;006.8625;3;;1;2008;2005;2;;;;;;;0;3;;;02;;000320;000282;
1;31;03;09;59;022;565;1;5;3;1;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;008.2100;4;;0;1990;;;;;;;;;0;2;2;;03;;000249;000164;
1;04;06;09;59;017;568;3;4;4;1;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;061.6711;1;;0;1999;;;;;;;;;0;2;1;4;03;;000245;000040;
1;31;03;09;59;019;570;1;3;4;1;1;1;2;1;3;2005;05;3;1;2;1;1;2007;05;1;1;2;;;;;;;;;;;;;;;063.0772;2;;2;2007;2005;2;2009;2;;;;;3;2;1;4;06;;000519;000266;
1;28;05;09;59;017;577;3;4;3;1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;008.3972;3;;1;2007;;;;;;;;;0;3;;;02;;000430;000100;
1;04;06;09;59;004;592;3;2;3;1;1;2;1;1;3;2000;04;1;1;2;;;;;;;;;;;;;;;;;;;;;;008.5387;1;;1;2006;2008;2;;;;;;;3;3;;;03;;000435;000200;
1;29;05;09;59;018;594;4;5;6;2;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;051.5494;4;;0;2009;;;;;;;;;0;2;1;4;02;;000050;;
1;03;06;09;59;019;600;2;4;3;1;1;1;1;1;3;1996;07;1;3;3;;;;;;;;;;;;;;;;;;;;;;006.8625;3;;1;2007;2008;2;;;;;;;3;2;2;;03;;000392;000105;
1;12;03;09;60;048;001;3;1;1;1;1;1;1;1;3;2000;05;1;2;2;;;;;;;;;;;;;;;;;;;;;;115.0472;1;;2;2007;2005;2;;;;;;;2;3;;;03;;001100;000050;
1;04;04;09;60;024;002;5;1;4;1;1;1;2;1;3;2008;07;1;1;2;1;3;2003;05;1;1;2;;;;;;;;;;;;;;;132.0350;2;;3;2008;2009;2;2003;2;;;;;4;3;;;11;;;;
1;05;05;09;60;037;004;1;1;2;1;2;1;2;1;3;2006;;2;1;2;1;3;2008;06;2;1;2;;;;;;;;;;;;;;;132.0350;2;12;2;2004;2006;2;2008;2;;;;;6;4;;;10;001900;;000350;
1;20;02;09;60;002;005;4;1;1;1;1;1;2;1;1;1993;04;1;1;2;1;3;2006;07;1;1;2;;;;;;;;;;;;;;;115.0472;1;;4;1989;1993;2;2006;2;;;;;2;3;;;06;;;;
1;04;04;09;60;007;008;5;1;1;1;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115.0472;2;;0;1974;;;;;;;;;1;4;;;04;;;;
1;12;03;09;60;021;012;3;1;1;1;1;1;2;1;3;2002;04;1;1;2;1;3;2004;08;1;1;2;;;;;;;;;;;;;;;132.0350;1;;2;1990;2005;2;2005;2;;;;;4;3;;;08;;;;
1;05;05;09;60;011;013;1;1;2;1;1;2;2;2;1;1995;05;1;1;2;3;3;1997;08;1;1;2;;;;;;;;;;;;;;;115.0472;5;15;2;1971;1995;2;2005;2;;;;;1;3;;;11;000700;;000150;
1;11;03;09;60;024;014;2;1;1;1;1;1;2;1;1;2004;06;1;1;2;1;1;1991;05;1;1;2;;;;;;;;;;;;;;;115.0472;1;;2;1965;2004;2;1993;2;;;;;2;;;;05;;;;
1;31;03;09;60;040;015;1;3;4;1;2;1;1;1;1;2001;04;1;1;2;;;;;;;;;;;;;;;;;;;;;;119.4376;1;;1;2008;2006;2;;;;;;;5;3;;;04;;000500;000080;
1;04;04;09;60;024;017;5;1;2;1;1;1;2;1;3;2001;05;1;2;2;1;3;2004;05;1;2;2;;;;;;;;;;;;;;;119.4376;2;20;1;2004;2002;2;2008;2;;;;;4;2;1;3;08;001200;;;
1;05;05;09;60;002;018;1;4;1;1;1;1;1;1;1;1989;07;1;1;2;;;;;;;;;;;;;;;;;;;;;;119.2470;3;;1;1983;1999;2;;;;;;;2;2;1;3;03;;;000200;
