nom_etabli,size,adresse,code_posta,DEPCOM,NOM_COM,IRIS,DCOMIRIS,NOM_IRIS,TYP_IRIS
ECOLE SECONDAIRE PRIVEE CENTRE ESHEL,52,23  RUE SELLENICK,67000,67482,Strasbourg,502,674820502,Kable Sud Est,H
COLLEGE PRIVE INSTITUTION LA PROVIDENCE,1121,3  RUE DU SANGLIER,67000,67482,Strasbourg,102,674820102,Mairie Sud,H
COLLEGE PRIVE ECOLE LIBRE SAINTE ANNE,476,128 route DU POLYGONE,67100,67482,Strasbourg,2407,674822407,Neudorf Sud Sud Ouest,H
LYCEE D'ENS. GENERAL ET TECHN. ORT,466,14 rue SELLENICK,67083,67482,Strasbourg,503,674820503,Kable Sud Ouest,H
LP LYCEE DES METIERS JEAN-FREDERIC OBERLIN,586,4 rue DE L'ACADEMIE,67081,67482,Strasbourg,1104,674821104,Krutenau Nord Est,H
COLLEGE PRIVE EYYUB SULTAN,78,29 route DE LA FEDERATION,67100,67482,Strasbourg,2501,674822501,Plaine des Bouchers Ouest,A
COLLEGE INTERNATIONAL VAUBAN,520,70 boulevard D'ANVERS,67000,67482,Strasbourg,902,674820902,Vauban Est,H
COLLEGE PRIVE ECOLE AQUIBA,192,4  RUE BALDUNG GRIEN,67000,67482,Strasbourg,601,674820601,Contades Sud,H
LYCEE GENERAL SECTIONS INTERNATIONALES,1033,1 rue DES PONTONNIERS,67017,67482,Strasbourg,601,674820601,Contades Sud,H
LYCEE GENERAL PRIVE ECOLE AQUIBA,158,4  RUE BALDUNG GRIEN,67000,67482,Strasbourg,601,674820601,Contades Sud,H
COLLEGE FOCH,476,7 rue DU GENERAL FRERE,67000,67482,Strasbourg,601,674820601,Contades Sud,H
COLLEGE JULES HOFFMANN,453,115 rue BOECKLIN,67015,67482,Strasbourg,2102,674822102,Robertsau Ouest,H
COLLEGE ECOLE EUROPEENNE DE STRASBOURG,525,2 rue PETER SCHWARBER,67015,67482,Strasbourg,2101,674822101,Robertsau Sud Ouest,H
COLLEGE LAMARTINE,316,9  RUE LAMARTINE,67800,67506,Vendenheim,101,675060101,Nord,H
COLLEGE LA PIERRE POLIE,274,Rue DU VIGNOBLE,67550,67506,Vendenheim,102,675060102,Sud,H
COLLEGE ANDRE MALRAUX,518,4 rue DES JARDINS,67610,67519,La Wantzenau,101,675190101,Est,H
