,code_emd,CODE_IRIS,AREA,PERCENTAGE,Home,persons_EMD,persons_IRIS
338,004019,671560000,1068884.00372,99.88113918049999,004019,5.0,5.0
339,004020,671560000,1174301.31502,100.000007391,004020,4.0,4.0
342,004021,673010000,1288.89830805,0.08641984316,004021,6.0,0.0
341,004021,672490000,1443534.43919,96.7881011689,004021,6.0,6.0
340,004021,670670103,21166.1351058,1.4191764119699999,004021,6.0,0.0
343,004021,675390000,25083.2165953,1.6818143298500001,004021,6.0,0.0
344,004022,670670102,16336.7279435,0.40002841259000005,004022,6.0,0.0
347,004022,674170000,3951.63297983,0.09676144902,004022,6.0,0.0
345,004022,672500000,4044696.48363,99.0402435158,004022,6.0,6.0
346,004022,673310000,24548.0010113,0.60109331017,004022,6.0,0.0
349,004023,670390000,2714.86862042,0.10302734498999999,004023,9.0,0.0
351,004023,673610000,1328.3476839,0.05040985559,004023,9.0,0.0
352,004023,675390000,14308.8757619,0.54301172012,004023,9.0,0.0
350,004023,672980000,2611096.25446,99.0892570541,004023,9.0,9.0
348,004023,670340000,4952.2806785,0.18793555094999997,004023,9.0,0.0
358,004024,675160000,19086.1622934,0.31985662551,0,0.0,0.0
359,004024,675390000,159433.367593,2.67187390361,0,0.0,0.0
355,004024,672930000,14959.203297,0.25069472915999996,0,0.0,0.0
353,004024,670330000,8097.93595423,0.1357097581,0,0.0,0.0
354,004024,672490000,252.65703864099999,0.00423416853,0,0.0,0.0
356,004024,673010000,5732490.38308,96.0682929076,0,0.0,0.0
357,004024,674600000,30167.2698953,0.50556004927,0,0.0,0.0
360,004025,673010000,223793.002983,100.0,004025,3.0,3.0
361,004026,673010000,156866.423331,99.9999999994,004026,5.0,5.0
362,004027,673010000,276603.58115,99.9999999995,004027,2.0,2.0
363,004028,673010000,301880.445187,100.000000001,0,0.0,0.0
364,004029,673010000,361306.825965,100.00000443200001,0,0.0,0.0
365,004030,673010000,985462.159445,98.19553139840001,0,0.0,0.0
366,004030,675460000,18835.651377,1.87686232137,0,0.0,0.0
367,004031,673010000,172746.51523,100.000083164,0,0.0,0.0
373,004032,673610000,2943080.14403,97.5310278508,004032,6.0,6.0
371,004032,671190000,24131.1383392,0.7996842118699999,004032,6.0,0.0
369,004032,670390000,12554.5855868,0.41604766999,004032,6.0,0.0
372,004032,672980000,22684.0957351,0.75173052198,004032,6.0,0.0
368,004032,670340000,7096.3634193,0.23516709855999998,004032,6.0,0.0
370,004032,670670103,10669.7565526,0.35358613173000003,004032,6.0,0.0
375,004033,670670101,18266.7710499,0.76674537286,0,0.0,0.0
374,004033,670330000,17673.5963229,0.7418469397399999,0,0.0,0.0
376,004033,672500000,2545.15542096,0.10683257248,0,0.0,0.0
377,004033,674170000,2343356.38715,98.36208391129999,0,0.0,0.0
378,005001,670380000,2081200.43283,94.6796925931,005001,3.0,3.0
382,005001,675290000,10316.0040447,0.46930419403000007,005001,3.0,0.0
381,005001,672520000,18093.7422283,0.8231354967100001,005001,3.0,0.0
379,005001,671560000,53033.3553703,2.41263729549,005001,3.0,0.0
380,005001,672050000,34941.4655146,1.58958606845,005001,3.0,0.0
387,005002,675290000,943.43849698,0.00678472143,0,0.0,0.0
384,005002,672370000,14283.3196583,0.10271824319,0,0.0,0.0
385,005002,673560000,17792.6345025,0.12795541944,0,0.0,0.0
383,005002,671510000,13881476.671500003,99.82839638979999,0,0.0,0.0
386,005002,675190101,1632.6012827,0.01174082353,0,0.0,0.0
388,005003,671510000,166399.714695,100.00002175899999,0,0.0,0.0
389,005004,671510000,294407.834437,100.0,005004,2.0,2.0
390,005005,671510000,226102.077702,100.0,005005,2.0,2.0
391,005006,671510000,468702.270679,100.00000339299999,005006,2.0,2.0
392,005007,671510000,867851.466176,100.000005385,005007,12.0,12.0
393,005008,671510000,938103.509372,100.00000323299999,005008,13.0,13.0
394,005009,671510000,250640.156206,100.00000893,0,0.0,0.0
395,005010,671510000,173567.19585,99.9999999991,005010,1.0,1.0
397,005011,670460103,12474.1037164,0.11883831594000001,0,0.0,0.0
396,005011,670460101,37551.1643486,0.35774250671999996,0,0.0,0.0
398,005011,671690000,10393153.4355,99.01351468799999,0,0.0,0.0
399,005011,672520000,8271.06297182,0.07879677907,0,0.0,0.0
401,005011,675290000,12124.3695935,0.1155064682,0,0.0,0.0
400,005011,675230000,31168.1165752,0.29693247458,0,0.0,0.0
402,005012,671690000,165048.876779,93.43377277549999,0,0.0,0.0
403,005012,672520000,10702.7133688,6.05878033523,0,0.0,0.0
404,005013,671690000,427649.639241,100.000000001,005013,7.0,7.0
405,005014,671690000,1143387.35838,100.0,005014,15.0,15.0
409,005015,675290000,8448.02424109,0.09981005466,0,0.0,0.0
407,005015,671560000,40054.1867509,0.47322432497,0,0.0,0.0
408,005015,672050000,8413284.51776,99.3996186081,0,0.0,0.0
406,005015,670380000,2288.27619389,0.027035075360000004,0,0.0,0.0
410,005016,672050000,490016.404134,100.0,005016,5.0,5.0
411,005017,672050000,455840.569428,100.000000462,005017,11.0,11.0
412,005018,672050000,449188.511734,99.99999925120001,005018,3.0,3.0
413,005019,672050000,323742.287626,99.9999999997,0,0.0,0.0
414,005020,672050000,413961.319742,99.9999999998,005020,5.0,5.0
415,005021,672050000,4311597.4448,100.059120916,0,0.0,0.0
416,005022,672050000,91967.2972525,100.0,0,0.0,0.0
418,005023,675060102,8675.28342203,0.55216840326,0,0.0,0.0
417,005023,672050000,1560257.4953,99.3079819917,0,0.0,0.0
421,005024,675190101,4962.87141633,0.10036206874,005024,3.0,0.0
419,005024,671510000,7101.72161443,0.14361513992,005024,3.0,0.0
420,005024,672370000,4928856.1165,99.67419159100001,005024,3.0,3.0
422,005024,675190102,8285.89511826,0.16756218441,005024,3.0,0.0
423,005025,672370000,515813.088182,100.000000001,005025,1.0,1.0
424,005026,672370000,183264.70816,99.9999999999,0,0.0,0.0
425,005027,672370000,255746.970146,100.0,005027,5.0,5.0
427,005028,672370000,498789.543147,97.4250824582,005028,6.0,6.0
426,005028,671510000,9800.83256543,1.91432826523,005028,6.0,0.0
428,005028,675190101,2079.66320967,0.40620610931,005028,6.0,0.0
430,005029,675190101,4652.49690132,2.44588403315,0,0.0,0.0
429,005029,672370000,184994.652164,97.25432935120001,0,0.0,0.0
431,005030,672370000,302492.528751,99.5767607464,005030,2.0,2.0
433,005031,672520000,2648447.96076,99.53835982860001,0,0.0,0.0
434,005031,675230000,5366.10964794,0.20167802460999998,0,0.0,0.0
432,005031,671690000,6522.67383283,0.24514593628000003,0,0.0,0.0
435,005031,675290000,2365.83014936,0.08891654892999999,0,0.0,0.0
437,005032,672520000,301658.98817,99.89856258399999,005032,3.0,3.0
436,005032,671690000,812.6142935830001,0.26910850678000003,005032,3.0,0.0
438,005033,672520000,614412.659548,100.0,005033,2.0,2.0
441,005034,671690000,23768.6256232,0.1573755883,005034,24.0,0.0
443,005034,672500000,21248.2326241,0.1406876932,005034,24.0,0.0
439,005034,670670102,19468.5346135,0.12890404926,005034,24.0,0.0
445,005034,673310000,10087.1684189,0.06678863513,005034,24.0,0.0
446,005034,675230000,14944747.1771,98.9513830644,005034,24.0,24.0
444,005034,672520000,58944.6999692,0.39028158303000005,005034,24.0,0.0
442,005034,671800404,7203.63250497,0.04769631704,005034,24.0,0.0
440,005034,671560000,12757.5265676,0.08446947167000002,005034,24.0,0.0
453,005035,673560000,549.2708797509999,0.00316122435,0,0.0,0.0
454,005035,674070000,1544.42852015,0.00888866537,0,0.0,0.0
448,005035,670460101,37276.644907,0.2145386583,0,0.0,0.0
451,005035,672050000,8269.26346609,0.04759217718,0,0.0,0.0
452,005035,672520000,8146.58222336,0.04688610856000001,0,0.0,0.0
447,005035,670380000,10160.0821856,0.05847442562999999,0,0.0,0.0
455,005035,675290000,17283047.4919,99.46930120520001,0,0.0,0.0
450,005035,671940000,11870.6121262,0.06831905621,0,0.0,0.0
449,005035,671690000,4034.67674275,0.02322081661,0,0.0,0.0
456,005036,675290000,242450.292545,100.016753759,005036,1.0,1.0
457,005037,675290000,293928.078725,101.076776634,005037,4.0,4.0
458,005038,675290000,299046.711289,100.16153882200001,005038,5.0,5.0
459,005039,675290000,192393.68259,99.72894489219999,005039,4.0,4.0
460,005040,675290000,359269.492267,99.9999999998,005040,7.0,7.0
461,005041,672050000,5688.23188742,1.8962978988599999,005041,4.0,0.0
462,005041,675290000,295012.376037,98.34889995540001,005041,4.0,4.0
463,005042,675290000,424689.808997,99.46650101120001,0,0.0,0.0
464,006001,671310000,6979088.882769999,98.4555623234,0,0.0,0.0
466,006001,672000000,39778.7357496,0.5611674908500001,0,0.0,0.0
467,006001,672180303,33860.3094487,0.47767493196000005,0,0.0,0.0
465,006001,671370000,1943.92279053,0.027423352060000003,0,0.0,0.0
468,006001,673780000,26544.8027281,0.37447344821999995,0,0.0,0.0
470,006002,671370000,6322.33021025,0.60593259102,006002,15.0,0.0
469,006002,671310000,1035048.79797,99.1991527072,006002,15.0,15.0
474,006003,672180303,7788.42388972,0.5186584480499999,006003,2.0,0.0
472,006003,671370000,1912.93043258,0.12738874302,006003,2.0,0.0
473,006003,672180101,4945.60709437,0.32934531255,006003,2.0,0.0
471,006003,671310000,1489951.08146,99.2210653298,006003,2.0,2.0
475,006004,671310000,935344.573298,100.04066555799999,006004,5.0,5.0
476,006005,671310000,1084929.78437,100.10031770299999,006005,6.0,6.0
477,006005,672180303,4832.26466828,0.4458456533199999,006005,6.0,0.0
478,006006,671310000,61557.1777822,100.000000001,0,0.0,0.0
