DCOMIRIS,HOSPITALm2,Sum of HOSPITAL_employee,HOSPITAL_customer,FITNESS_m2,FITNESS_employee,FITNESS_customers,PUBS_m2,PUBS_employee,PUBS_employee2,PUBS_customers,CINEMA_m2,CINEMA_employee,CINEMA_customers,MUSEUM_m2,MUSEUM_employee,MUSEUM_customers,SUM_lesiure,size
673090101,,0,0.0,921.6,7.4,207.4,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,732.2,733
673090102,,0,0.0,,0.0,0.0,480.0,9.0,9.0,787.2,,0.0,0.0,,0.0,0.0,787.2,788
673100000,,0,0.0,102.1,1.0,23.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,285.4,286
673110000,,0,0.0,14.2,1.0,3.2,38.4,1.0,1.0,63.0,,0.0,0.0,,0.0,0.0,66.2,67
673120000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673130101,,0,0.0,1478.6,11.8,332.7,69.5,2.0,2.0,114.0,1000.0,8.3,450.0,,0.0,0.0,896.7,897
673130102,,0,0.0,2047.9,16.4,460.8,462.8,8.7,8.7,759.1,,0.0,0.0,,0.0,0.0,1219.9,1220
673140000,,0,0.0,2030.2,16.2,456.8,,0.0,0.0,0.0,,0.0,0.0,2849.6,47.6,569.9,1026.7,1027
673150000,,0,0.0,,0.0,0.0,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,524.8,525
673170000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673190000,,0,0.0,,0.0,0.0,126.1,2.4,2.4,206.8,,0.0,0.0,,0.0,0.0,206.8,207
673200000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673210000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673220000,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
673240000,,0,0.0,108.6,2.0,24.4,606.3,11.4,11.4,994.3,,0.0,0.0,,0.0,0.0,1018.7,1019
673250000,,0,0.0,1739.9,13.9,391.5,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,391.5,392
