code_emd;CODE_IRIS;AREA;PERCENTAGE
001001;670540000;4412972.59348000000;99.16248103540
001001;674380000;15137.90452110000;0.34015896047
001001;675010000;13918.56304180000;0.31275953214
001001;675260000;6391.57975264000;0.14362312310
001002;670860000;4022288.76941000000;99.69454416640
001002;673970000;9199.17553509000;0.22800640736
001003;671300104;9993556.40595000000;100.09583842200
001003;671540000;16431.85106030000;0.16458204086
001003;673360000;405.74014415700;0.00406390861
001004;671300101;71701.23977950000;11.17437509300
001004;671300102;476646.47737600000;74.28360431900
001004;671300103;46561.96935570000;7.25651205266
001004;671300104;51734.16295260000;8.06257944400
001005;671300102;2530.37411025000;0.44197724684
001005;671300103;63050.79901230000;11.01300335220
001005;671300104;507163.53703000000;88.58561383680
001006;671300103;626323.68908800000;99.68670515720
001007;671300101;420017.14810400000;76.95041670980
001007;671300102;4393.85445762000;0.80498839870
001007;671300104;120182.75909200000;22.01841861750
001008;671300102;15029.78901560000;1.33207834303
001008;671300104;1109069.75654000000;98.29597754600
001009;671300103;280425.32375800000;99.99999999990
001010;671300101;436740.34485800000;62.08840376720
001010;671300104;266113.00750900000;37.83147596160
001011;671300104;457011.16590000000;100.00000075100
001012;671300104;413427.93792400000;100.00000568600
001013;671300104;733463.17064700000;100.00000074700
001014;671300104;979180.34167600000;100.00000000000
001015;671300103;1285010.36694000000;98.51002194770
001015;673640000;1440.75611034000;0.11044962726
001015;674380000;14858.37992340000;1.13905643878
001016;671300103;1423146.45678000000;20.77554581980
001016;671300104;5303088.48021000000;77.41617679770
001016;671540000;35997.53706410000;0.52550352574
001016;673640000;86519.26434480000;1.26303581204
001017;671300101;8713.34494543000;0.31310476808
001017;671300104;2774297.43408000000;99.69142276840
001018;671300101;2220242.56717000000;26.75788294800
001018;671300103;5229395.56268000000;63.02354365430
001018;671300104;775795.34822900000;9.34971765089
001018;672660000;3391.94259231000;0.04087895809
001018;673360000;56739.95040750000;0.68381760350
001018;674380000;14627.19376990000;0.17628377392
001019;671300102;144406.93600600000;101.65426208300
001020;670860000;2651.46469418000;0.02479832813
001020;671300104;3029.93977690000;0.02833808837
001020;671540000;10571924.34080000000;98.87593425990
001020;671920000;4143.30576677000;0.03875105566
001020;673380000;61605.01229150000;0.57617260104
001020;673640000;638.95853767700;0.00597598132
