value,destination_zone,origin_zone
51031,2,2
51032,11,11
51033,11,11
51034,92,89
51035,11,11
52001,14,15
52002,12,10
52004,4,4
52005,1,1
52006,5,5
52007,4,5
52009,1,1
52010,1,1
52012,9,9
52013,21,21
52014,2,2
52016,7,8
52019,4,4
52021,2,2
52026,1,1
52028,10,10
52031,2,2
52032,2,2
52034,27,27
52036,1,1
52038,2,2
52039,2,2
52043,5,5
52044,2,2
52049,2,2
52050,1,0
52052,8,8
52053,9,9
52054,38,38
52055,3,4
52056,1,1
52057,5,5
52058,1,1
52062,4,4
52063,6,6
52065,23,24
52068,2,2
52070,8,8
52071,11,13
52076,1,1
52080,2,2
52082,2,2
52083,6,6
52087,3,3
52089,11,11
52091,14,14
52092,14,14
52093,4,4
52094,2,2
52097,31,30
52098,8,7
52099,20,21
52100,1,1
52101,2,2
52102,7,7
52104,23,23
52105,3,3
52108,6,6
52110,1,1
52112,2,2
52114,1,0
52115,0,1
52116,1,1
52117,12,12
52118,3,3
52119,2,2
52120,13,13
52121,86,87
52122,98,98
52123,48,49
52124,20,19
52125,6,5
52126,17,17
52128,29,29
52130,6,6
52131,7,7
52132,5,5
52133,2,2
52135,5,5
53002,2,2
53003,1,1
53006,1,1
53008,12,13
53009,1,1
53011,8,8
53012,2,2
53014,1,1
53015,1,1
53018,11,10
53019,1,1
53020,9,9
53021,12,12
53022,14,14
53023,9,9
53026,6,6
53027,1,1
53028,29,31
53030,5,5
53031,7,6
53032,24,22
53037,0,1
53038,7,6
53039,2,2
53041,1,1
53044,4,4
53045,5,5
53046,2,2
53048,4,4
53049,7,7
53050,6,6
53051,41,41
53052,28,28
53053,2,3
53056,10,9
53057,17,17
53058,1,1
53059,16,16
53060,11,11
53061,14,14
53062,18,18
53063,19,19
53064,19,20
53065,1,1
53066,7,7
53068,10,10
53069,9,9
53070,3,3
53072,3,3
53073,2,2
53074,4,4
53075,11,11
53076,18,18
53077,9,8
53078,3,3
53079,3,4
53081,2,2
53083,5,4
53084,3,3
53086,18,17
53087,44,44
53088,9,10
53089,4,4
53090,0,1
53091,5,5
53092,11,11
53094,13,12
53095,19,19
53099,4,4
53100,11,12
53101,3,3
53102,3,3
53103,7,7
53106,5,6
53108,13,13
53109,1,1
53110,2,2
53112,3,3
53114,11,11
53115,9,9
53116,1,1
53117,1,1
53118,3,3
53120,10,10
53121,1,1
53123,5,5
53124,3,3
53125,2,2
54001,43,43
54002,4,4
54003,21,21
54005,2,2
54006,42,42
54007,4,4
54008,2,2
54009,8,8
54010,7,7
54011,1,1
54012,3,3
54013,4,5
54014,6,6
54017,1,1
54018,16,16
54019,16,16
54022,62,62
54023,50,51
54024,26,25
54025,12,13
54026,2,2
54027,3,3
54028,50,51
54029,18,17
54030,18,17
54031,11,11
54032,23,23
54033,37,39
54034,0,1
54035,3,3
54036,70,70
54037,4,4
54038,7,7
54039,3,3
54040,3,3
54041,3,3
54042,1,1
54043,5,3
54044,1,1
54045,2,2
54046,3,3
54047,1,1
54049,15,16
54051,4,4
54052,6,6
54053,27,25
54054,20,20
54055,1,0
54056,21,21
54057,6,6
55001,10,10
55006,4,4
55010,10,10
55012,4,4
55013,5,5
55015,12,12
55016,5,5
55018,1,1
55019,13,14
55021,12,12
55022,2,2
55027,3,3
55028,11,11
55029,7,7
55031,5,5
55032,3,3
55034,3,3
55035,10,10
55036,2,2
55037,2,2
55038,5,5
55039,10,10
55041,4,4
55042,30,30
55043,2,2
55044,31,31
55045,2,2
55046,6,6
55047,11,12
55048,5,5
55049,3,3
55050,12,12
55052,9,8
55054,10,10
55055,15,16
55059,1,1
55060,4,4
55064,3,3
55067,8,7
55069,41,40
55071,12,12
55072,7,7
55074,2,2
55075,8,8
55076,4,4
55079,11,11
55082,9,9
55083,5,5
55087,6,6
55089,1,1
55092,30,31
55093,10,10
55094,3,5
55095,3,1
55096,10,10
55097,11,12
55098,11,11
55099,13,14
55102,1,1
55105,33,33
55109,7,7
55112,1,1
55114,2,2
55117,3,3
55119,15,14
55120,6,6
55123,2,2
55124,5,5
55125,2,2
55126,5,5
55127,6,6
55128,4,4
55129,8,8
55130,6,6
55131,1,1
55136,3,3
56001,3,3
56002,96,95
56003,41,41
56004,138,138
56005,19,19
56006,58,57
56007,193,195
56008,110,108
56009,18,19
56010,29,30
56011,38,37
56012,24,23
56013,92,93
57001,5,5
57002,3,4
57003,89,89
57004,27,27
57005,16,16
57006,16,15
57007,7,6
57008,3,2
57009,1,1
57010,1,1
57011,4,5
57012,10,9
57013,10,10
57014,1,1
57015,41,41
57016,18,18
57017,2,2
57018,44,43
57019,42,43
57020,62,62
57021,7,7
57022,10,9
57023,20,20
57026,35,35
57027,2,2
57028,1,0
57029,20,20
57030,40,41
57032,1,1
57033,2,2
57034,6,6
57035,1,1
57037,27,27
57038,2,2
57039,8,8
57041,11,10
57042,27,26
57043,11,13
57044,18,18
57045,13,13
57046,7,7
57047,8,8
57048,24,24
57049,17,17
58001,25,25
58002,3,3
58003,2,3
58004,1,0
58005,33,33
58006,2,2
58007,21,21
58008,18,18
58009,3,3
58010,1,1
58011,1,1
58012,5,5
58013,1,1
58014,1,1
58015,11,11
58016,6,6
58017,8,8
58018,3,3
58019,2,2
58020,1,1
58021,2,2
58025,15,15
58026,3,3
58027,7,7
58028,4,4
58029,11,11
58030,4,4
58034,4,4
58035,68,67
58036,16,16
58037,59,60
58038,3,3
58039,78,78
58040,5,5
58041,91,91
58042,8,8
58043,11,11
58044,19,19
58045,4,4
58046,2,2
58047,5,5
58048,21,19
58050,27,26
58051,4,4
58052,4,5
58054,2,2
58055,1,1
58056,7,7
58057,8,8
58059,18,17
58060,8,9
58061,24,23
58063,24,24
58064,8,10
58066,2,2
58067,16,16
58068,11,11
58069,16,15
58070,4,4
58071,1,1
58073,2,2
58074,5,5
58075,5,5
58076,1,1
58077,4,4
59001,30,30
59002,7,7
59004,47,47
59005,2,2
59007,7,7
59009,26,26
59010,30,30
59011,7,7
59012,2,2
59013,39,38
59014,3,3
59016,10,10
59017,152,153
59018,49,51
59019,70,71
59020,15,15
59021,19,19
59022,99,97
59023,40,40
59024,14,14
59025,13,13
59026,37,37
60001,5,5
60002,49,48
60003,14,14
60004,27,27
60005,8,8
60006,16,16
60007,9,9
60008,4,4
60009,7,7
60010,3,2
60011,40,41
60012,9,9
60013,9,9
60014,3,2
60018,14,14
60019,1,1
60020,9,9
60021,19,19
60023,3,3
60024,50,50
60025,4,4
60026,2,2
60027,1,1
60029,34,34
60030,1,1
60031,45,44
60032,1,2
60033,0,1
60034,24,25
60036,6,6
60037,16,17
60038,12,11
60039,9,9
60040,27,27
60041,4,3
60042,8,8
60043,37,37
60044,9,9
60045,1,1
60046,2,2
60047,29,29
60048,5,5
60049,1,1
60050,2,2
60052,8,8
60065,0,1
61001,2,2
61002,17,17
61003,1,1
61004,6,7
61005,0,1
61006,27,26
61008,36,37
61009,30,29
61010,40,40
61011,6,6
61012,2,2
61013,1,1
61015,3,3
61021,1,1
61023,10,10
61025,1,2
61026,4,4
61027,6,5
61030,8,8
61031,29,29
61033,1,1
61035,35,35
61036,2,2
61038,2,2
61039,18,18
61040,1,1
61041,1,1
61044,1,1
61047,1,1
61055,18,17
61056,6,5
61058,15,15
61059,1,1
61060,3,3
61061,14,14
61062,2,2
61064,15,14
61065,4,4
61066,21,21
61071,22,22
61072,20,19
61073,9,9
61074,11,12
61075,4,4
61076,2,2
61077,8,8
61078,1,1
61079,22,22
61080,6,5
61081,9,10
61082,1,1
61084,2,2
61085,15,16
61087,9,9
61088,45,45
61089,10,10
61091,7,7
61094,7,7
61100,1,1
62001,16,17
62002,16,15
62003,31,31
62004,50,49
62005,15,15
62006,62,62
62007,79,79
62008,54,54
62009,86,87
62010,204,205
62011,100,101
62012,54,56
62013,17,17
62014,51,49
62015,38,38
62016,26,25
62017,14,14
62018,29,30
62019,24,25
62020,83,84
62021,8,8
62022,75,76
62023,69,69
62024,3,3
62025,21,21
62026,35,36
62027,16,16
62028,1,1
62029,2,2
62030,6,6
62031,12,11
62032,17,17
62033,7,7
62034,2,2
62035,12,12
62036,5,5
62037,8,8
62038,4,4
62039,71,70
62040,50,50
62041,17,18
62042,44,44
62043,6,5
63001,61,61
63002,9,9
63003,17,17
63004,12,12
63005,50,49
63007,30,30
63008,20,21
63009,82,82
63010,27,27
63011,81,80
63012,17,18
63013,72,73
63014,50,50
63015,3,3
63017,4,4
63018,5,4
63019,32,32
63020,4,4
63022,3,3
63023,20,20
63024,59,58
63043,0,1
64010,28,30
64011,244,243
64012,7,6
64013,8,8
64014,2,2
64015,7,7
64019,9,9
64020,89,89
64021,5,5
64029,9,9
64031,52,52
64032,6,6
64033,60,60
64034,17,17
64035,87,87
64036,11,12
64037,1,2
64039,3,3
64040,2,2
64042,5,5
65001,57,57
65002,19,19
65004,28,26
65006,9,9
65007,9,9
65009,10,11
65010,2,2
65011,20,20
65012,8,8
65013,10,12
65014,31,30
65015,1,1
65016,25,25
65017,2,2
65018,1,1
65019,13,13
65021,16,16
65022,7,7
65024,10,10
65025,14,14
65026,2,2
65027,5,5
65028,22,22
65029,4,4
65030,21,21
65032,1,1
65033,28,28
65034,2,2
65035,13,12
65036,3,3
65038,98,96
65039,57,58
65040,8,8
65041,7,7
66004,2,2
66005,16,16
66006,11,10
66007,29,29
66009,1,2
66010,1,1
66011,12,12
66012,11,11
66024,5,5
66025,7,7
66026,8,8
66037,3,3
66038,2,2
66039,6,7
66040,10,10
66041,16,17
66042,26,26
66043,1,1
66044,1,1
66045,3,3
66046,10,10
66047,1,1
66048,27,27
66049,26,27
66051,1,1
66052,3,3
66054,3,3
66055,4,4
66058,4,4
66059,9,9
66060,2,1
66061,34,34
66067,1,1
66068,6,6
66069,6,6
66070,54,54
66071,5,5
66072,1,1
66074,14,16
66079,1,1
66081,3,3
66082,1,1
66083,6,6
66084,11,9
66085,14,14
66086,31,30
66087,47,48
66090,25,27
66105,16,16
67002,10,10
67003,23,24
67013,10,9
67014,4,4
67015,5,5
67016,5,5
67017,11,11
67018,39,40
67019,39,37
67020,2,2
67021,4,4
67022,1,1
67027,6,6
67028,11,11
67029,39,39
67030,10,10
67031,45,45
67032,49,49
67033,11,11
67034,13,13
67035,51,51
67036,2,2
67063,19,19
67064,14,14
67065,25,25
67075,1,1
67076,16,16
67077,22,22
67092,32,32
67093,29,29
67094,3,3
67095,47,45
67096,26,26
67097,41,42
67098,13,13
67099,1,1
67100,4,4
67101,13,13
67102,24,24
67104,5,5
68001,9,9
68002,22,22
68003,2,2
68005,3,3
68006,61,60
68007,1,1
68009,5,5
68016,113,114
68017,18,18
68018,69,68
68022,16,16
68023,9,9
68024,84,83
68026,2,2
68027,2,2
68038,5,5
68044,2,2
68047,105,104
206001,1,0
207001,0,1
210001,4,5
216001,0,1
217001,0,1
218001,0,2
700001,24,23
700002,16,15
700005,5,7
700011,1,1
700014,1,1
700015,1,1
700038,15,15
700042,2,2
700046,1,1
700049,1,1
700050,1,1
700052,13,12
700053,1,2
700056,1,1
700061,1,1
700062,2,2
700069,1,1
700076,2,2
700081,6,9
700086,2,1
700087,2,2
700091,1,0
700099,6,5
700105,1,1
700107,1,1
700109,18,15
700111,1,0
700114,1,1
700116,8,9
700117,3,3
700121,1,1
700124,1,2
700129,2,2
700130,9,9
700158,1,1
700999,167,176
800001,29,30
800002,3,1
800005,2,2
800006,3,4
800007,2,2
800009,14,14
800010,11,11
800011,9,9
800012,2,2
800013,5,6
800014,2,2
800016,1,1
906029,0,1
908105,2,2
913201,0,1
917002,5,5
921231,1,1
925056,0,2
925159,1,1
925204,1,1
925388,1,1
931221,0,1
937261,0,2
939065,1,1
944109,0,1
948095,0,1
949299,0,1
951454,1,2
954184,1,1
954329,1,1
954395,10,10
954454,0,1
955086,0,1
957046,1,1
957087,1,1
957089,2,2
957097,1,1
957159,0,1
957163,3,3
957169,2,2
957207,1,1
957209,1,1
957227,2,2
957250,1,1
957291,2,2
957410,2,2
957427,1,1
957456,1,1
957462,1,1
957463,10,14
957483,0,1
957484,2,2
957535,1,1
957540,8,9
957541,1,1
957566,1,1
957589,1,1
957628,17,16
957630,15,15
957631,18,19
957644,1,1
957658,1,1
957672,1,0
957703,1,1
957711,2,2
957767,0,1
967005,2,2
967009,8,8
967017,3,3
967026,1,1
967073,1,1
967081,1,1
967148,1,1
967159,1,1
967220,5,5
967279,1,1
967293,1,1
967312,1,1
967381,2,2
967471,1,1
967543,1,1
968004,1,1
968005,1,0
968007,1,1
968010,1,0
968012,0,1
968014,1,1
968015,1,1
968018,1,1
968020,1,1
968028,8,8
968029,0,1
968036,6,5
968043,0,2
968044,1,1
968063,2,2
968066,84,92
968068,2,2
968078,1,1
968082,1,2
968091,1,1
968102,1,1
968112,2,2
968113,1,1
968135,1,1
968140,0,1
968142,1,0
968145,1,1
968146,1,1
968147,1,1
968149,2,2
968151,1,1
968157,1,1
968159,1,0
968163,1,1
968166,1,1
968172,3,2
968185,9,10
968188,1,1
968196,0,1
968209,1,1
968224,24,27
968226,0,1
968227,2,2
968231,5,5
968235,1,1
968242,1,1
968252,2,2
968262,1,0
968268,0,1
968269,11,13
968277,1,1
968285,3,3
968287,3,3
968294,4,4
968295,3,4
968296,7,7
968297,1,2
968298,12,11
968300,1,1
968307,1,1
968331,1,1
968338,1,1
968350,1,1
968352,1,1
968360,1,1
968367,1,1
968375,1,0
968376,2,2
968379,1,1
969007,1,1
969386,0,1
969901,1,2
974056,0,1
974119,0,2
975001,0,1
975008,1,1
975009,0,1
975010,3,7
975101,1,1
975109,0,2
975110,2,5
975116,0,1
975999,0,1
977354,0,1
977514,1,1
988075,1,2
988081,1,1
988160,2,2
988196,1,1
988413,3,3
988451,1,1
988501,1,1
988516,1,0
989024,1,1
990010,2,0
992047,0,2
993001,1,1
994900,0,2
995901,0,1
